"species_nr","code","wetnaam","nednaam","aangevuld"
"5310","ALNU*PU","Alnus x pubescens","Zwarte x Witte Els","0"
"6021","ALOP-SP","Alopecurus species","Vossenstaart (G)","0"
"38","ALOPAEQ","Alopecurus aequalis","Rosse vossenstaart","0"
"5197","ALOPA=G","Alopecurus aequalis + A. geniculatus","Rosse en Geknikte vossenstaart","0"
"39","ALOPBUL","Alopecurus bulbosus","Knolvossenstaart","0"
"40","ALOPGEN","Alopecurus geniculatus","Geknikte vossenstaart","0"
"41","ALOPMYO","Alopecurus myosuroides","Duist","0"
"42","ALOPPRA","Alopecurus pratensis","Grote vossenstaart","0"
"1551","ALOP*HY","Alopecurus geniculatus x pratensis","Geknikte x Grote vossenstaart","0"
"6022","ALTH-SP","Althaea species","Heemst (G)","0"
"5012","ALTHHIR","Althaea hirsuta","Ruige heemst","0"
"43","ALTHOFF","Althaea officinalis","Echte heemst","0"
"6023","ALYS-SP","Alyssum species","Schildzaad (G)","0"
"44","ALYSALY","Alyssum alyssoides","Bleek schildzaad","0"
"6024","AMAR-SP","Amaranthus species","Amarant (G)","0"
"1651","AMARALB","Amaranthus albus","Witte amarant","0"
"1758","AMARBLT","Amaranthus blitoides","Nerfamarant","0"
"46","AMARBLI","Amaranthus blitum","Kleine majer","0"
"5013","AMARCAU","Amaranthus caudatus","Kattenstaartamarant","0"
"5014","AMARDEF","Amaranthus deflexus","Liggende majer","0"
"45","AMARGRA","Amaranthus graecizans","Afrikaanse amarant","0"
"1652","AMARHYB","Amaranthus hybridus","Groene amarant","0"
"1653","AMARPAL","Amaranthus palmeri","Tweehuizige amarant","0"
"47","AMARRET","Amaranthus retroflexus","Papegaaienkruid","0"
"5015","AMARSTA","Amaranthus standleyanus","Argentijnse amarant","0"
"6025","AMBR-SP","Ambrosia species","Ambrosia (G)","0"
"48","AMBRART","Ambrosia artemisiifolia","Alsemambrosia","0"
"1654","AMBRCOR","Ambrosia psilostachya","Zandambrosia","0"
"1655","AMBRTRI","Ambrosia trifida","Driedelige ambrosia","0"
"6026","AMEL-SP","Amelanchier species","Krentenboompje (G)","0"
"1852","AMELLAM","Amelanchier lamarckii","Amerikaans krentenboompje","0"
"6628","AMMI-SP","Ammi species","Akkerscherm (G)","0"
"1656","AMMIMAJ","Ammi majus","Groot akkerscherm","0"
"1657","AMMIVIS","Ammi visnaga","Fijn akkerscherm","0"
