species_nr,wetnaam,nednaam
184,Callitriche platycarpa,Gewoon sterrenkroos
185,Callitriche stagnalis,Gevleugeld sterrenkroos
186,Calluna vulgaris,Struikhei
187,Caltha palustris s. palustris,Gewone dotterbloem
188,Calystegia sepium,Haagwinde
189,Calystegia soldanella,Zeewinde
191,Campanula glomerata,Kluwenklokje
194,Campanula persicifolia,Prachtklokje
195,Campanula rapunculoides,Akkerklokje
196,Campanula rapunculus,Rapunzelklokje
198,Campanula rotundifolia,Grasklokje
199,Campanula trachelium,Ruig klokje
200,Capsella bursa-pastoris,Gewoon herderstasje
201,Cardamine amara,Bittere veldkers
202,Cardamine flexuosa,Bosveldkers
203,Cardamine hirsuta,Kleine veldkers
204,Cardamine impatiens,Springzaadveldkers
205,Cardamine pratensis,Pinksterbloem
206,Arabis arenosa,Rozetsteenkers
207,Carduus acanthoides,Langstekelige distel
208,Carduus crispus,Kruldistel
209,Carduus nutans,Knikkende distel
211,Carex acuta,Scherpe zegge
212,Carex acutiformis,Moeraszegge
213,Carex appropinquata,Paardenhaarzegge
214,Carex aquatilis,Noordse zegge
215,Carex arenaria,Zandzegge
217,Carex buxbaumii,Knotszegge
218,Carex caryophyllea,Voorjaarszegge
219,Carex curta,Zompzegge
220,Carex oederi s. oedocarpa,Geelgroene zegge
221,Carex diandra,Ronde zegge
222,Carex digitata,Vingerzegge
223,Carex dioica,Tweehuizige zegge
224,Carex distans,Zilte zegge
225,Carex disticha,Tweerijige zegge
228,Carex echinata,Sterzegge
229,Carex elongata,Elzenzegge
231,Carex extensa,Kwelderzegge
232,Carex flacca,Zeegroene zegge
233,Carex flava,Gele zegge
234,Carex hartmanii,Kleine knotszegge
235,Carex hirta,Ruige zegge
236,Carex hostiana,Blonde zegge
237,Carex elata,Stijve zegge
239,Carex lasiocarpa,Draadzegge
240,Carex lepidocarpa,Schubzegge
241,Carex ligerica,Carex ligerica
242,Carex limosa,Slijkzegge
243,Carex muricata,Dichte bermzegge
244,Carex nigra,Zwarte zegge
245,Carex otrubae,Valse voszegge
246,Carex ovalis,Hazenzegge
247,Carex pallescens,Bleke zegge
248,Carex panicea,Blauwe zegge
