species_nr,wetnaam,nednaam
790,Malva neglecta,Klein kaasjeskruid
791,Malva pusilla,Rond kaasjeskruid
792,Malva sylvestris,Groot kaasjeskruid
793,Marrubium vulgare,Malrove
794,Matricaria recutita,Echte kamille
795,Tripleurospermum maritimum,Reukeloze kamille
796,Matricaria discoidea,Schijfkamille
797,Medicago arabica,Gevlekte rupsklaver
798,Medicago falcata,Sikkelklaver
799,Medicago lupulina,Hopklaver
800,Medicago minima,Kleine rupsklaver
801,Medicago sativa,Luzerne
802,Medicago x varia,Bonte luzerne
803,Melampyrum arvense,Wilde weit
804,Melampyrum pratense,Hengel
805,Silene latifolia,Avondkoekoeksbloem
806,Silene noctiflora,Nachtkoekoeksbloem
807,Silene dioica,Dagkoekoeksbloem
808,Melica uniflora,Eenbloemig parelgras
809,Melilotus albus,Witte honingklaver
810,Melilotus altissimus,Goudgele honingklaver
812,Melilotus officinalis,Citroengele honingklaver
813,Mentha aquatica,Watermunt
814,Mentha arvensis,Akkermunt
815,Mentha longifolia,Hertsmunt
817,Mentha pulegium,Polei
818,Mentha suaveolens,Witte munt
820,Mentha x verticillata,Kransmunt
821,Menyanthes trifoliata,Waterdrieblad
822,Mercurialis annua,Tuinbingelkruid
823,Mercurialis perennis,Bosbingelkruid
824,Mespilus germanica,Mispel
825,Mibora minima,Dwerggras
826,Milium effusum,Bosgierstgras
827,Milium vernale,Ruw gierstgras
829,Minuartia hybrida,Tengere veldmuur
830,Moehringia trinervia,Drienerfmuur
831,Moenchia erecta,Kruismuur
832,Molinia caerulea,Pijpenstrootje
834,Monotropa hypopitys,Stofzaad
835,Montia fontana s. chondrosperma,Klein bronkruid
837,Muscari botryoides,Blauwe druifjes
839,Mycelis muralis,Muursla
840,Myosotis arvensis,Akkervergeet-mij-nietje
841,Myosotis laxa s. cespitosa,Zompvergeet-mij-nietje
842,Myosotis discolor,Veelkleurig vergeet-mij-nietje
843,Myosotis ramosissima,Ruw vergeet-mij-nietje
844,Myosotis scorpioides,Moerasvergeet-mij-nietje
845,Myosotis stricta,Stijf vergeet-mij-nietje
846,Myosotis sylvatica,Bosvergeet-mij-nietje
847,Stellaria aquatica,Watermuur
848,Myosurus minimus,Muizenstaart
849,Myrica gale,Wilde gagel
850,Myriophyllum alterniflorum,Teer vederkruid
851,Myriophyllum spicatum,Aarvederkruid
852,Myriophyllum verticillatum,Kransvederkruid
854,Najas marina,Groot nimfkruid
857,Nardus stricta,Borstelgras
858,Narthecium ossifragum,Beenbreek
859,Rorippa microphylla,Slanke waterkers
860,Rorippa nasturtium-aquaticum,Witte waterkers
861,Neottia nidus-avis,Vogelnestje
862,Nepeta cataria,Wild kattenkruid
863,Nicandra physalodes,Zegekruid
865,Nuphar lutea,Gele plomp
866,Nymphaea alba,Witte waterlelie
867,Nymphoides peltata,Watergentiaan
868,Oenanthe aquatica,Watertorkruid
869,Oenanthe fistulosa,Pijptorkruid
870,Oenanthe lachenalii,Zilt torkruid
872,Oenothera biennis,Middelste teunisbloem
873,Oenothera erythrosepala,Grote teunisbloem
874,Oenothera parviflora,Kleine teunisbloem s.l.
875,Onobrychis viciifolia,Esparcette
876,Ononis repens s. repens,Kruipend stalkruid
877,Ononis repens s. spinosa,Kattendoorn
878,Onopordum acanthium,Wegdistel
879,Ophioglossum vulgatum,Addertong
880,Ophrys apifera,Bijenorchis
881,Ophrys insectifera,Vliegenorchis
884,Dactylorhiza incarnata,Vleeskleurige orchis
885,Dactylorhiza maculata s. maculata,Dactylorhiza maculata s. maculata
886,Dactylorhiza majalis s. majalis,Brede orchis
887,Orchis mascula,Mannetjesorchis
888,Orchis militaris,Soldaatje
889,Orchis morio,Harlekijn
890,Dactylorhiza majalis s. praetermissa,Rietorchis
891,Orchis purpurea,Purperorchis
894,Origanum vulgare,Wilde marjolein
895,Ornithogalum nutans,Knikkende vogelmelk
896,Ornithogalum umbellatum,Gewone vogelmelk
897,Ornithopus perpusillus,Klein vogelpootje
899,Orobanche hederae,Klimopbremraap
900,Orobanche lutea,Rode bremraap
901,Orobanche minor,Klavervreter
902,Orobanche picridis,Bitterkruidbremraap
903,Orobanche purpurea,Blauwe bremraap
905,Orobanche rapum-genistae,Grote bremraap
907,Orobanche caryophyllacea,Walstrobremraap
908,Osmunda regalis,Koningsvaren
909,Oxalis acetosella,Witte klaverzuring
911,Oxalis fontana,Stijve klaverzuring
912,Oxycoccus macrocarpos,Grote veenbes
913,Oxycoccus palustris,Kleine veenbes
914,Papaver argemone,Ruige klaproos
915,Papaver dubium,Bleke klaproos
916,Papaver rhoeas,Grote klaproos
917,Parapholis strigosa,Dunstaart
918,Parietaria officinalis,Groot glaskruid
919,Parietaria judaica,Klein glaskruid
920,Paris quadrifolia,Eenbes
921,Parnassia palustris,Parnassia
922,Pastinaca sativa,Gewone pastinaak
923,Pedicularis palustris,Moeraskartelblad
924,Pedicularis sylvatica,Heidekartelblad
925,Lythrum portula,Waterpostelein
926,Petasites hybridus,Groot hoefblad
927,Petroselinum segetum,Wilde peterselie
928,Peucedanum carvifolia,Karwijvarkenskervel
929,Peucedanum palustre,Melkeppe
930,Phalaris arundinacea,Rietgras
931,Phleum arenarium,Zanddoddegras
932,Phleum pratense s. pratense,Timoteegras s.s.
933,Phragmites australis,Riet
935,Phyteuma spicatum s. nigrum,Zwartblauwe rapunzel
936,Phyteuma spicatum s. spicatum,Witte rapunzel
937,Picris echioides,Dubbelkelk
938,Picris hieracioides,Echt bitterkruid
939,Pilularia globulifera,Pilvaren
940,Pimpinella major,Grote bevernel
941,Pimpinella saxifraga,Kleine bevernel
942,Pinguicula vulgaris,Vetblad
943,Pinus sylvestris,Grove den
944,Plantago coronopus,Hertshoornweegbree
945,Plantago major s. intermedia,Getande weegbree
946,Plantago lanceolata,Smalle weegbree
947,Plantago major s. major,Grote weegbree s.s.
948,Plantago maritima,Zeeweegbree
949,Plantago media,Ruige weegbree
950,Platanthera bifolia,Welriekende nachtorchis
951,Platanthera chlorantha,Bergnachtorchis
952,Poa annua,Straatgras
953,Poa bulbosa,Knolbeemdgras
954,Poa chaixii,Bergbeemdgras
955,Poa compressa,Plat beemdgras
956,Poa nemoralis,Schaduwgras
957,Poa palustris,Moerasbeemdgras
958,Poa pratensis,Veldbeemdgras
959,Poa trivialis,Ruw beemdgras
961,Polygala comosa,Kuifvleugeltjesbloem
962,Polygala serpyllifolia,Liggende vleugeltjesbloem
963,Polygala vulgaris,Gewone vleugeltjesbloem s.l.
964,Polygonatum multiflorum,Gewone salomonszegel
965,Polygonatum odoratum,Welriekende salomonszegel
966,Polygonatum verticillatum,Kranssalomonszegel
967,Persicaria amphibia,Veenwortel
968,Polygonum aviculare,Gewoon varkensgras
969,Persicaria bistorta,Adderwortel
970,Fallopia convolvulus,Zwaluwtong
971,Fallopia dumetorum,Heggenduizendknoop
972,Persicaria hydropiper,Waterpeper
973,Persicaria lapathifolia,Beklierde duizendknoop
974,Polygonum maritimum,Strandvarkensgras
975,Persicaria minor,Kleine duizendknoop
976,Persicaria mitis,Zachte duizendknoop
977,Persicaria maculosa,Perzikkruid
978,Polypodium vulgare,Gewone eikvaren
979,Polystichum aculeatum,Stijve naaldvaren
980,Populus alba,Witte abeel
981,Populus x canescens,Grauwe abeel
982,Populus nigra,Zwarte populier
983,Populus tremula,Ratelpopulier
985,Potamogeton acutifolius,Spits fonteinkruid
986,Potamogeton alpinus,Rossig fonteinkruid
987,Potamogeton berchtoldii,Klein fonteinkruid
988,Potamogeton coloratus,Weegbreefonteinkruid
989,Potamogeton compressus,Plat fonteinkruid
990,Potamogeton crispus,Gekroesd fonteinkruid
991,Groenlandia densa,Paarbladig fonteinkruid
992,Potamogeton mucronatus,Puntig fonteinkruid
993,Potamogeton gramineus,Ongelijkbladig fonteinkruid
994,Potamogeton lucens,Glanzig fonteinkruid
995,Potamogeton natans,Drijvend fonteinkruid
996,Potamogeton nodosus,Rivierfonteinkruid
997,Potamogeton obtusifolius,Stomp fonteinkruid
998,Potamogeton pectinatus,Schedefonteinkruid
999,Potamogeton perfoliatus,Doorgroeid fonteinkruid
1000,Potamogeton polygonifolius,Duizendknoopfonteinkruid
1001,Potamogeton praelongus,Langstengelig fonteinkruid
1002,Potamogeton pusillus,Tenger fonteinkruid
1003,Potamogeton trichoides,Haarfonteinkruid
1004,Potamogeton gramineus x lucens,Gegolfd fonteinkruid
1005,Potentilla anglica,Kruipganzerik
1006,Potentilla anserina,Zilverschoon
1007,Potentilla argentea,Viltganzerik
1008,Potentilla erecta,Tormentil
1009,Potentilla intermedia,Middelste ganzerik
1010,Potentilla reptans,Vijfvingerkruid
1011,Potentilla sterilis,Aardbeiganzerik
1012,Potentilla supina,Liggende ganzerik
1013,Potentilla verna,Voorjaarsganzerik
1014,Primula elatior,Slanke sleutelbloem
1015,Primula veris,Gulden sleutelbloem
1016,Primula vulgaris,Stengelloze sleutelbloem
1017,Prunella vulgaris,Gewone brunel
1018,Prunus avium,Zoete kers
1019,Prunus padus,Vogelkers
1020,Prunus serotina,Amerikaanse vogelkers
1021,Prunus spinosa,Sleedoorn
1022,Pteridium aquilinum,Adelaarsvaren
1023,Puccinellia distans s. distans,Stomp kweldergras s.s.
1024,Puccinellia fasciculata,Blauw kweldergras
1025,Puccinellia maritima,Gewoon kweldergras
1027,Puccinellia distans s. borealis,Bleek kweldergras
1029,Pulicaria dysenterica,Heelblaadjes
1030,Pulicaria vulgaris,Klein vlooienkruid
1032,Pulmonaria officinalis,Gevlekt longkruid
1033,Pyrola minor,Klein wintergroen
1034,Pyrola rotundifolia,Rond wintergroen
1035,Pyrus communis,Peer
1036,Quercus petraea,Wintereik
1037,Quercus robur,Zomereik
1038,Radiola linoides,Dwergvlas
1040,Ranunculus acris,Scherpe boterbloem
1041,Ranunculus aquatilis,Fijne waterranonkel
1042,Ranunculus arvensis,Akkerboterbloem
1043,Ranunculus auricomus,Gulden boterbloem
1044,Ranunculus baudotii,Zilte waterranonkel
1045,Ranunculus bulbosus,Knolboterbloem
1046,Ranunculus circinatus,Stijve waterranonkel
1048,Ranunculus flammula,Egelboterbloem
1049,Ranunculus fluitans,Vlottende waterranonkel
1050,Ranunculus hederaceus,Klimopwaterranonkel
1051,Ranunculus lingua,Grote boterbloem
1052,Ranunculus polyanthemos,Bos- en Kalkboterbloem
1053,Ranunculus ololeucos,Witte waterranonkel
1055,Ranunculus peltatus,Grote waterranonkel
1056,Ranunculus repens,Kruipende boterbloem
1057,Ranunculus sardous,Behaarde boterbloem
1058,Ranunculus sceleratus,Blaartrekkende boterbloem
1061,Raphanus raphanistrum,Knopherik
1062,Reseda lutea,Wilde reseda
1063,Reseda luteola,Wouw
1064,Rhamnus cathartica,Wegedoorn
1065,Rhinanthus alectorolophus,Harige ratelaar
1066,Rhinanthus angustifolius,Grote ratelaar
1067,Rhinanthus minor,Kleine ratelaar
1068,Rhynchospora alba,Witte snavelbies
1069,Rhynchospora fusca,Bruine snavelbies
1070,Ribes nigrum,Zwarte bes
1071,Ribes rubrum,Aalbes
1072,Ribes uva-crispa,Kruisbes
1073,Elymus caninus,Hondstarwegras
1074,Rorippa amphibia,Gele waterkers
1075,Rorippa austriaca,Oostenrijkse kers
1076,Rorippa palustris,Moeraskers
1077,Rorippa amphibia x sylvestris,Middelste waterkers
1078,Rorippa sylvestris,Akkerkers
1079,Rosa agrestis,Rosa agrestis
1080,Rosa arvensis,Bosroos
1083,Rosa pimpinellifolia,Duinroosje
1085,Rosa rugosa,Rimpelroos
1086,Rosa tomentosa,Rosa tomentosa
1089,Rubus caesius,Dauwbraam
1091,Rubus idaeus,Framboos
1092,Rubus saxatilis,Steenbraam
1093,Rumex acetosa,Veldzuring
1094,Rumex acetosella,Schapenzuring
1095,Rumex cripsus x obtusifolius,Bermzuring
1096,Rumex aquaticus,Paardenzuring
1097,Rumex conglomeratus,Kluwenzuring
1098,Rumex crispus,Krulzuring
1099,Rumex hydrolapathum,Waterzuring
1100,Rumex maritimus,Goudzuring
1101,Rumex obtusifolius,Ridderzuring
1102,Rumex palustris,Moeraszuring
1103,Rumex sanguineus,Bloedzuring
1106,Rumex thyrsiflorus,Geoorde zuring
1107,Ruppia maritima,Snavelruppia
1108,Ruppia cirrhosa,Spiraalruppia
1109,Sagina apetala,Tengere vetmuur
1110,Sagina maritima,Zeevetmuur
1111,Sagina nodosa,Sierlijke vetmuur
1112,Sagina procumbens,Liggende vetmuur
1114,Sagittaria sagittifolia,Pijlkruid
1116,Salix alba,Schietwilg
1117,Salix aurita,Geoorde wilg
1118,Salix caprea,Boswilg
1119,Salix cinerea,Grauwe en Rossige wilg
1120,Salix dasyclados,Duitse dot
1121,Salix fragilis,Kraakwilg
1122,Salix pentandra,Laurierwilg
1123,Salix purpurea,Bittere wilg
1124,Salix repens,Kruipwilg
1125,Salix triandra,Amandelwilg
1126,Salix viminalis,Katwilg
1127,Salsola kali s. kali,Stekend loogkruid
1128,Salvia pratensis,Veldsalie
1130,Salvia verticillata,Kranssalie
1132,Sambucus ebulus,Kruidvlier
1133,Sambucus nigra,Gewone vlier
1134,Sambucus racemosa,Trosvlier
1135,Samolus valerandi,Waterpunge
1136,Sanguisorba minor,Kleine pimpernel
1137,Sanguisorba officinalis,Grote pimpernel
1138,Sanicula europaea,Heelkruid
1139,Saponaria officinalis,Zeepkruid
1140,Cytisus scoparius,Brem
1141,Clinopodium acinos,Kleine steentijm
1143,Clinopodium vulgare,Borstelkrans
1144,Saxifraga granulata,Knolsteenbreek
1146,Saxifraga tridactylites,Kandelaartje
1147,Scabiosa columbaria,Duifkruid
1148,Scandix pecten-veneris,Naaldenkervel
1149,Scheuchzeria palustris,Veenbloembies
1150,Schoenus nigricans,Knopbies
1151,Scilla non-scripta,Wilde hyacint
1152,Schoenoplectus pungens,Stekende bies
1153,Trichophorum cespitosum s. germanicum,Gewone veenbies
1154,Eleogiton fluitans,Vlottende bies
1155,Schoenoplectus lacustris,Mattenbies
1156,Bolboschoenus maritimus,Heen
1157,Blysmus compressus,Platte bies
1158,Blysmus rufus,Rode bies
1159,Isolepis setacea,Borstelbies
1160,Scirpus sylvaticus,Bosbies
1161,Schoenoplectus tabernaemontani,Ruwe bies
1162,Schoenoplectus triqueter,Driekantige bies
1163,Scleranthus annuus,Eenjarige hardbloem
1164,Scleranthus perennis,Overblijvende hardbloem
1165,Scleranthus polycarpos,Kleine hardbloem
1166,Scorzonera humilis,Kleine schorseneer
1167,Scrophularia auriculata,Geoord helmkruid
1169,Scrophularia umbrosa s. neesii,Middelst helmkruid
1170,Scrophularia nodosa,Knopig helmkruid
1171,Scrophularia umbrosa s. umbrosa,Rivierhelmkruid
1172,Scrophularia vernalis,Voorjaarshelmkruid
1173,Scutellaria galericulata,Blauw glidkruid
1174,Scutellaria minor,Klein glidkruid
1175,Sedum acre,Muurpeper
1176,Sedum album,Wit vetkruid
1178,Sedum telephium s. maximum,Bleke hemelsleutel
1179,Sedum telephium s. telephium,Gewone hemelsleutel
1180,Sedum reflexum,Tripmadam
1181,Sedum sexangulare,Zacht vetkruid
1182,Selinum carvifolia,Karwijselie
1183,Senecio aquaticus,Waterkruiskruid
1184,Tephroseris palustris,Moerasandijvie
1185,Senecio erucifolius,Viltig kruiskruid
1186,Senecio fluviatilis,Rivierkruiskruid
1187,Senecio ovatus,Schaduwkruiskruid
1188,Senecio jacobaea s. jacobaea,Jakobskruiskruid s.s.
1189,Senecio paludosus,Moeraskruiskruid
1190,Senecio sylvaticus,Boskruiskruid
1191,Senecio viscosus,Kleverig kruiskruid
1192,Senecio vulgaris,Klein kruiskruid
1193,Serratula tinctoria,Zaagblad
1194,Sesleria albicans,Blauwgras
1195,Setaria pumila,Geelrode naaldaar
1196,Setaria verticillata,Kransnaaldaar
1197,Setaria viridis,Groene naaldaar
1198,Sherardia arvensis,Blauw walstro
1199,Danthonia decumbens,Tandjesgras
1200,Silaum silaus,Weidekervel
1202,Silene conica,Kegelsilene
1203,Silene gallica,Franse silene
1204,Silene nutans,Nachtsilene
1205,Silene otites,Oorsilene
1206,Silene vulgaris,Blaassilene
1207,Sinapis arvensis,Herik
1208,Sisymbrium altissimum,Hongaarse raket
1210,Sisymbrium loeselii,Spiesraket
1211,Sisymbrium officinale,Gewone raket
1212,Sisymbrium orientale,Oosterse raket
1213,Sisymbrium austriacum,Maasraket
1215,Berula erecta,Kleine watereppe
1216,Sium latifolium,Grote watereppe
1218,Solanum dulcamara,Bitterzoet
1219,Solanum nigrum s. nigrum,Zwarte nachtschade s.s.
1220,Solanum triflorum,Driebloemige nachtschade
1221,Solidago gigantea,Late guldenroede
1222,Solidago virgaurea,Echte guldenroede
1224,Sonchus asper,Gekroesde melkdistel
1225,Sonchus oleraceus,Gewone melkdistel
1226,Sonchus palustris,Moerasmelkdistel
1227,Sorbus aucuparia,Wilde lijsterbes
1228,Sparganium angustifolium,Drijvende egelskop
1229,Sparganium erectum,Grote en Blonde egelskop
1230,Sparganium natans,Kleinste egelskop
1231,Sparganium emersum,Kleine egelskop
1232,Spartina maritima,Klein slijkgras
1233,Spartina anglica,Engels slijkgras
1234,Spergula arvensis,Gewone spurrie
1235,Spergula morisonii,Heidespurrie
1236,Spergularia media s. angustata,Gerande schijnspurrie
1237,Spergularia rubra,Rode schijnspurrie
1238,Spergularia marina,Zilte schijnspurrie
1240,Spiranthes spiralis,Herfstschroeforchis
1241,Spirodela polyrhiza,Veelwortelig kroos
1242,Stachys annua,Zomerandoorn
1243,Stachys arvensis,Akkerandoorn
1244,Stachys officinalis,Betonie
1245,Stachys palustris,Moerasandoorn
1246,Stachys sylvatica,Bosandoorn
1247,Stellaria uliginosa,Moerasmuur
1248,Stellaria graminea,Grasmuur
1249,Stellaria holostea,Grote muur
1250,Stellaria media,Vogelmuur
1251,Stellaria neglecta,Heggenvogelmuur
1252,Stellaria pallida,Duinvogelmuur
1253,Stellaria nemorum,Bosmuur
1254,Stellaria palustris,Zeegroene muur
1255,Stratiotes aloides,Krabbenscheer
1256,Suaeda maritima,Schorrenkruid
1258,Succisa pratensis,Blauwe knoop
1259,Symphytum officinale,Gewone smeerwortel
1260,Tanacetum vulgare,Boerenwormkruid
1261,Taraxacum sectie Erythrosperma,Zandpaardenbloemen
1262,Taraxacum sectie Celtica,Schraallandpaardenbloemen
1263,Taraxacum obliquum,Oranjegele paardenbloem
1265,Taraxacum sectie Palustria,Moeraspaardenbloemen
1267,Taxus baccata,Taxus
1268,Teesdalia nudicaulis,Klein tasjeskruid
1269,Teucrium botrys,Trosgamander
1270,Teucrium chamaedrys s. germanicum,Echte gamander s.s.
1271,Teucrium montanum,Berggamander
1272,Teucrium scordium,Moerasgamander
1273,Teucrium scorodonia,Valse salie
1274,Thalictrum minus s. dunense,Thalictrum minus s. dunense
1275,Thalictrum flavum,Poelruit
1280,Thlaspi caerulescens,Zinkboerenkers
1281,Thlaspi arvense,Witte krodde
1282,Thlaspi perfoliatum,Doorgroeide boerenkers
1283,Thymus pulegioides,Grote tijm
1284,Thymus serpyllum,Wilde tijm
1285,Tilia cordata,Winterlinde
1286,Tilia platyphyllos,Zomerlinde
1289,Torilis japonica,Heggendoornzaad
1290,Torilis nodosa,Knopig doornzaad
1291,Tragopogon pratensis s. minor,Gele morgenster
1292,Tragopogon pratensis s. orientalis,Oosterse morgenster
1295,Trientalis europaea,Zevenster
1296,Trifolium arvense,Hazenpootje
1298,Trifolium campestre,Liggende klaver
1299,Trifolium dubium,Kleine klaver
1300,Trifolium fragiferum,Aardbeiklaver
1301,Trifolium hybridum,Basterdklaver
1302,Trifolium medium,Bochtige klaver
1303,Trifolium micranthum,Draadklaver
1304,Trifolium ornithopodioides,Vogelpootklaver
1305,Trifolium pratense,Rode klaver
1306,Trifolium repens,Witte klaver
1307,Trifolium scabrum,Ruwe klaver
1308,Trifolium striatum,Gestreepte klaver
1309,Trifolium subterraneum,Onderaardse klaver
1310,Triglochin maritima,Schorrenzoutgras
1311,Triglochin palustris,Moeraszoutgras
1312,Trisetum flavescens,Goudhaver
1313,Tuberaria guttata,Gevlekt zonneroosje
1314,Tulipa sylvestris,Bostulp
1315,Arabis glabra,Torenkruid
1316,Tussilago farfara,Klein hoefblad
1317,Typha angustifolia,Kleine lisdodde
1318,Typha latifolia,Grote lisdodde
1319,Ulex europaeus,Gaspeldoorn
1320,Ulmus minor,Gladde iep
1321,Urtica dioica,Grote brandnetel
1322,Urtica urens,Kleine brandnetel
1323,Utricularia intermedia,Plat blaasjeskruid
1324,Utricularia minor,Klein blaasjeskruid
1325,Utricularia australis,Loos blaasjeskruid
1326,Utricularia ochroleuca,Bleekgeel blaasjeskruid
1327,Utricularia vulgaris,Groot blaasjeskruid
1329,Vaccinium myrtillus,Blauwe bosbes
1330,Vaccinium uliginosum,Rijsbes
1331,Vaccinium vitis-idaea,Rode bosbes
1332,Valeriana dioica,Kleine valeriaan
1333,Valeriana officinalis,Echte valeriaan
1334,Valerianella carinata,Gegroefde veldsla
1335,Valerianella dentata,Getande veldsla
1336,Valerianella locusta,Gewone veldsla
1337,Valerianella rimosa,Geoorde veldsla
1339,Verbascum lychnitis,Melige toorts
1340,Verbascum nigrum,Zwarte toorts
1341,Verbascum phlomoides,Keizerskaars
1342,Verbascum densiflorum,Stalkaars
1343,Verbascum thapsus,Koningskaars
1344,Verbena officinalis,IJzerhard
1345,Veronica agrestis,Akkerereprijs
1346,Veronica anagallis-aquatica,Blauwe waterereprijs
1347,Veronica arvensis,Veldereprijs
1349,Veronica beccabunga,Beekpunge
1350,Veronica catenata,Rode waterereprijs
1351,Veronica chamaedrys,Gewone ereprijs
1352,Veronica hederifolia,Klimopereprijs
1353,Veronica longifolia,Lange ereprijs
1354,Veronica montana,Bosereprijs
1355,Veronica officinalis,Mannetjesereprijs
1356,Veronica opaca,Doffe ereprijs
1357,Veronica peregrina,Vreemde ereprijs
1358,Veronica persica,Grote ereprijs
1359,Veronica polita,Gladde ereprijs
1360,Veronica praecox,Vroege ereprijs
1361,Veronica prostrata,Liggende ereprijs
1362,Veronica scutellata,Schildereprijs
1363,Veronica serpyllifolia,Tijmereprijs
1364,Veronica austriaca s. teucrium,Brede ereprijs s.s.
1365,Veronica triphyllos,Handjesereprijs
1366,Veronica verna,Kleine ereprijs
1367,Viburnum opulus,Gelderse roos
1368,Vicia sativa s. nigra,Smalle wikke s.s.
1369,Vicia cracca,Vogelwikke
1370,Vicia hirsuta,Ringelwikke
1371,Vicia lathyroides,Lathyruswikke
1372,Vicia sativa s. sativa,Voederwikke
1373,Vicia sepium,Heggenwikke
1375,Vicia tetrasperma s. tetrasperma,Vierzadige wikke s.s.
1377,Vinca minor,Kleine maagdenpalm
1378,Viola arvensis,Akkerviooltje
1379,Viola lutea s. calaminaria,Zinkviooltje
1380,Viola canina,Hondsviooltje
1381,Viola curtisii,Duinviooltje
1382,Viola hirta,Ruig viooltje
1384,Viola odorata,Maarts viooltje
1385,Viola palustris,Moerasviooltje
1386,Viola reichenbachiana,Donkersporig bosviooltje
1387,Viola riviniana,Bleeksporig bosviooltje
1388,Viola rupestris,Zandviooltje
1389,Viola persicifolia,Melkviooltje
1390,Viola tricolor,Driekleurig viooltje
1392,Vulpia bromoides,Eekhoorngras
1393,Vulpia myuros,Gewoon langbaardgras
1395,Wolffia arrhiza,Wortelloos kroos
1396,Zannichellia palustris s. palustris,Zittende zannichellia
1397,Zannichellia palustris s. pedicellata,Gesteelde zannichellia
1398,Zostera marina,Groot zeegras
1399,Zostera noltii,Klein zeegras
1403,Galeopsis pubescens,Zachte hennepnetel
1407,Hieracium peleterianum,Vals muizenoor
1411,Phleum pratense s. serotinum,Klein timoteegras
1415,Polypodium interjectum,Brede eikvaren
1416,Rosa dumalis,Rosa dumalis
1420,Thymus praecox,Kruiptijm
1426,Lathyrus japonicus,Zeelathyrus
1431,Erica scoparia,Bezemdophei
1452,Alchemilla vulgaris s.s. (= A. acutiloba),Spitslobbige vrouwenmantel
1454,Alchemilla glabra,Kale vrouwenmantel
1458,Arabis hirsuta s. sagittata,Pijlscheefkelk
1459,Arenaria leptoclados,Tengere zandmuur
1460,Caltha palustris s. araneosa,Spindotterbloem
1465,Cerastium fontanum s. holosteoides,Glanzende hoornbloem
1472,Festuca cinerea,Hard zwenkgras
1473,Festuca ovina,Genaald schapengras
1474,Festuca filiformis,Fijn schapengras
1487,Lamiastrum galeobdolon s. galeobdolon,Kleine gele dovenetel
1490,Diphasiastrum complanatum,Vlakke wolfsklauw
1496,Odontites vernus s. vernus,Akkerogentroost
1500,Poa angustifolia,Smal beemdgras
1522,Sagina apetala s. apetala,Tengere vetmuur (subsp. apetala)
1523,Sagina apetala s. erecta,Tengere vetmuur (subsp. erecta)
1524,Salsola kali s. ruthenica,Zacht loogkruid
1530,Senecio jacobaea s. dunensis,Duinkruiskruid
1533,Sparganium erectum s. erectum,Grote egelskop s.s.
1535,Sparganium erectum s. neglectum,Blonde egelskop
1536,Stellaria nemorum s. montana,Bosmuur (subsp. montana)
1544,Agrostis canina,Moerasstruisgras
1545,Agrostis vinealis,Zandstruisgras
1555,Carex paniculata x remota,Pluimzegge x IJle zegge
1556,Carex acuta x nigra,Scherpe x Zwarte zegge
1558,Carex hostiana x oederi s. oederi,Blonde zegge x Dwergzegge
1559,Carex elata x nigra,Stijve x Zwarte zegge
1561,Carex nigra x trinervis,Zwarte x Drienervige zegge
1562,Cirsium dissectum x palustre,Spaanse ruiter x Kale jonker
1563,Drosera x obovata,Lange x Ronde zonnedauw
1564,Dryopteris carthusiana x cristata,Kamvaren x Smalle stekelvaren
1566,Elytrigia x obtusiuscula,Elytrigia x obtusiuscula
1567,Elytrigia x oliveri,Elytrigia x oliveri
1578,Potentilla anglica x erecta,Kruipganzerik x Tormentil
1584,Rhinanthus angustifolius x minor,Grote x Kleine ratelaar
1588,Rumex conglomeratus x crispus,Rumex conglomeratus x crispus
1593,Salix aurita x cinerea,Geoorde wilg x Grauwe wilg
1603,Viola canina x riviniana,Honds- x Bleeksporig bosviooltje
1606,Viola canina x persicaria,Hondsviooltje x Melkviooltje
1610,Bromus racemosus,Trosdravik
1614,Helianthus tuberosus,Aardpeer
1615,Nymphaea candida,Noordelijke waterlelie
1616,Dactylorhiza maculata,Gevlekte orchis
1620,Anemone apennina,Blauwe anemoon
1621,Scilla siehei,Grote sneeuwroem
1623,Crocus vernus,Bonte krokus
1624,Galanthus elwesii,Groot sneeuwklokje
1625,Leucojum vernum,Lenteklokje
1630,Oenanthe crocata,Dodemansvingers
1632,Potamogeton lucens x perfoliatus,Wilgfonteinkruid
1634,Rubus fruticosus ag.,Gewone braam
1635,Salicornia europaea,Kortarige zeekraal
1636,Salicornia procumbens,Langarige zeekraal
1637,Dactylorhiza majalis,Brede orchis en Rietorchis
1642,Epilobium tetragonum,Kantige basterdwederik s.l.
1643,Rosa canina,Hondsroos
1644,Rosa villosa,Viltroos
1645,Rosa rubiginosa,Egelantier
1650,Abutilon theophrasti,Fluweelblad
1651,Amaranthus albus,Witte amarant
1652,Amaranthus hybridus,Groene amarant
1658,Amsinckia menziesii,Amsinckia
1659,Anagallis arvensis s. foemina,Blauw guichelheil
1663,Artemisia biennis,Rechte alsem
1665,Brassica juncea,Sareptamosterd
1673,Caucalis platycarpos,Caucalis
1679,Claytonia sibirica,Roze winterpostelein
1681,Cuscuta campestris,Veldwarkruid
1685,Eragrostis minor,Klein liefdegras
1704,Lepidium virginicum,Amerikaanse kruidkers
1708,Lupinus angustifolius,Blauwe lupine
1712,Neslia paniculata,Vinkenzaad
1716,Panicum miliaceum,Pluimgierst
1717,Parentucellia viscosa,Kleverige ogentroost
1720,Erigeron annuus,Zomerfijnstraal
1726,Potentilla norvegica,Noorse ganzerik
1727,Potentilla recta,Rechte ganzerik
