SYNTAXON,SPECIES_NR,PRESENTIE,KARAKT_BED,TROUW
09C3a,2629,30.3,29.1,20.81
09C3a,2700,16.7,5.4,1.62
09C3a,2819,1.5,2.0,0.11
09C3a,6579,1.5,2.0,5.88
09C3a,174,50.0,7.2,0.58
09C3a,674,21.2,3.4,20.55
09C3a,2324,13.6,1.9,0.58
09C3a,261,39.4,3.7,3.68
09C3a,473,13.6,4.2,0.06
09C3a,933,53.0,2.5,0.14
09C3a,962,1.5,2.0,0.51
09C3a,2574,12.1,1.9,0.93
09C3a,2624,3.0,20.5,3.1
09C3a,3446,7.6,2.4,22.64
09C3a,232,54.5,5.0,1.83
09C3a,581,36.4,2.8,0.68
09C3a,629,16.7,7.0,0.39
09C3a,747,21.2,2.4,1.47
09C3a,1034,18.2,2.0,1.38
09C3a,1265,4.5,2.3,2.98
09C3a,2316,22.7,2.1,1.16
09C3a,3430,36.4,7.5,14.26
09C3a,6094,1.5,2.0,2.66
09C3a,438,15.2,3.0,0.38
09C3a,456,9.1,6.5,2.69
09C3a,683,18.2,3.9,0.24
09C3a,1305,7.6,2.2,0.11
09C3a,1306,10.6,2.1,0.06
09C3a,335,21.2,1.9,0.3
09C3a,556,19.7,3.2,1.18
09C3a,593,7.6,2.6,4.57
09C3a,725,24.2,4.3,0.88
09C3a,1067,4.5,1.3,0.11
09C3a,1933,4.5,2.0,0.17
09C3a,3384,3.0,2.5,0.09
09C3a,685,10.6,4.0,0.75
09C3a,1000,3.0,8.0,0.31
09C3a,1914,3.0,7.5,0.53
09C3a,2990,1.5,88.0,51.44
09C3a,324,1.5,3.0,1.3
09C3a,399,1.5,2.0,0.89
09C3a,436,1.5,2.0,0.03
09C3a,753,3.0,7.0,0.1
09C3a,9500,13.6,19.0,1.52
09C3a,50,1.5,2.0,0.01
09C3a,285,16.7,1.7,2.97
09C3a,3300,1.5,2.0,4.51
09C3a,3460,3.0,2.0,6.27
09C3a,6442,1.5,3.0,0.65
09C3a,3455,18.2,5.0,36.09
09C3a,3316,1.5,3.0,1.22
09C3a,1066,3.0,1.5,0.06
09C3a,1119,9.1,3.2,0.13
09C3a,2576,3.0,3.0,1.44
09C3a,1311,6.1,2.0,0.54
09C3a,2145,1.5,2.0,0.03
09C3a,2213,3.0,2.5,2.14
09C3a,215,18.2,1.8,0.07
09C3a,224,16.7,2.1,0.89
09C3a,288,1.5,13.0,2.55
09C3a,509,7.6,2.4,2.46
09C3a,1158,6.1,1.8,0.27
09C3a,2701,6.1,18.8,2.57
09C3a,3301,12.1,11.6,10.09
09C3a,3454,3.0,2.5,0.73
09C3a,13,1.5,2.0,0.08
09C3a,61,1.5,2.0,0.13
09C3a,337,1.5,3.0,0.03
09C3a,471,1.5,2.0,0.12
09C3a,832,6.1,2.5,0.01
09C3a,1008,28.8,4.6,0.61
09C3a,1089,12.1,3.4,0.06
09C3a,1380,1.5,2.0,0.04
09C3a,2735,22.7,6.3,7.08
09C3a,331,7.6,2.0,0.05
09C3a,625,4.5,1.7,0.08
09C3a,332,1.5,13.0,0.31
09C3a,1199,19.7,4.5,0.53
09C3a,1369,7.6,2.2,0.28
09C3a,231,4.5,2.0,0.29
09C3a,948,10.6,1.6,0.18
09C3a,2319,6.1,1.8,1.06
09C3a,890,4.5,2.0,0.84
09C3a,2687,3.0,13.0,3.86
09C3a,2726,1.5,2.0,0.27
09C3a,437,4.5,2.0,0.04
09C3a,993,1.5,3.0,0.13
09C3a,2343,3.0,2.0,0.02
09C3a,173,1.5,2.0,0.01
09C3a,19,1.5,1.0,0.0
09C3a,857,1.5,1.0,0.01
09C3a,1112,1.5,1.0,0.03
09C3a,2976,3.0,4.5,0.03
09C3a,1135,9.1,2.0,0.86
09C3a,6114,1.5,2.0,75.0
09C3a,91,1.5,2.0,0.06
09C3a,445,1.5,2.0,0.02
09C3a,520,10.6,8.1,0.29
09C3a,738,1.5,2.0,0.04
09C3a,2515,3.0,20.0,3.53
09C3a,66,10.6,2.4,0.05
09C3a,562,4.5,2.3,3.69
09C3a,958,7.6,1.8,0.04
09C3a,608,1.5,2.0,4.31
09C3a,944,1.5,2.0,0.09
09C3a,917,1.5,2.0,0.09
09C3a,1029,15.2,3.2,0.46
09C3a,1156,1.5,2.0,0.01
09C3a,870,10.6,7.1,9.09
09C3a,959,1.5,2.0,0.0
09C3a,244,18.2,3.2,0.23
09C3a,248,19.7,2.7,0.25
09C3a,255,13.6,14.1,7.02
09C3a,651,13.6,2.1,2.73
09C3a,3142,1.5,2.0,0.04
09C3a,3525,6.1,2.5,0.42
09C3a,245,1.5,2.0,0.23
09C3a,1310,4.5,1.7,0.08
09C3a,2710,1.5,18.0,3.33
09C3a,517,3.0,2.0,0.04
09C3a,474,4.5,1.3,0.22
09C3a,761,4.5,1.7,0.03
09C3a,766,4.5,1.3,0.02
09C3a,946,6.1,1.3,0.02
09C3a,1283,3.0,1.0,0.02
09C3a,1382,1.5,1.0,0.04
09C3a,1474,16.7,11.0,0.55
09C3a,2942,9.1,3.7,0.07
09C3a,269,3.0,2.0,0.16
09C3a,286,1.5,1.0,0.69
09C3a,490,3.0,1.5,0.03
09C3a,550,1.5,1.0,0.01
09C3a,621,3.0,1.5,0.02
09C3a,963,6.1,1.8,0.17
09C3a,1355,1.5,1.0,0.02
09C3a,1388,1.5,1.0,0.06
09C3a,1766,4.5,2.0,0.08
09C3a,2570,1.5,1.0,0.32
09C3a,2788,1.5,1.0,0.0
09C3a,6459,1.5,10.0,0.48
09C3a,688,3.0,5.0,0.12
09C3a,1544,1.5,8.0,0.02
09C3a,2660,3.0,10.5,2.32
09C3a,6452,1.5,3.0,0.02
09C3a,1010,3.0,5.0,0.17
09C3a,1157,1.5,2.0,0.4
09C3a,6208,3.0,3.0,2.39
09C3a,2642,3.0,2.0,0.04
09C3a,2707,3.0,2.0,0.8
09C3a,780,3.0,2.0,0.06
09C3a,1056,3.0,2.0,0.01
09C3a,1634,1.5,1.0,0.0
09C3a,225,3.0,2.5,0.05
09C3a,342,1.5,3.0,0.31
09C3a,763,15.2,2.1,0.24
09C3a,6600,1.5,2.0,22.73
09C3a,814,1.5,2.0,0.15
09C3a,950,3.0,1.5,0.47
09C3a,2567,7.6,1.8,0.03
09C3a,1593,1.5,2.0,0.29
09C3a,53,12.1,9.5,12.08
09C3a,287,3.0,2.0,0.41
09C3a,2747,1.5,38.0,100.0
09C3a,1561,1.5,8.0,1.96
09C3a,139,4.5,1.3,0.01
09C3a,561,3.0,2.0,0.29
09C3a,2729,6.1,3.8,0.06
09C3a,772,6.1,2.3,0.15
09C3a,1040,4.5,1.7,0.04
09C3a,2820,3.0,2.5,0.03
09C3a,3321,4.5,4.0,0.61
09C3a,514,3.0,1.5,0.02
09C3a,2028,3.0,2.0,1.81
09C3a,153,1.5,3.0,0.09
09C3a,1332,1.5,2.0,0.06
09C3a,2962,1.5,2.0,0.6
09C3a,256,1.5,4.0,60.0
09C3a,2792,1.5,8.0,0.03
09C3a,679,1.5,2.0,0.04
09C3a,2544,1.5,3.0,0.03
09C3a,2673,1.5,3.0,0.21
09C3a,2961,1.5,8.0,7.29
09C3b,18,80.0,8.8,0.55
09C3b,224,36.0,3.6,3.29
09C3b,231,12.0,17.7,6.83
09C3b,672,100.0,18.4,65.42
09C3b,727,32.0,3.6,1.88
09C3b,921,88.0,11.4,27.23
09C3b,933,24.0,3.8,0.1
09C3b,1135,16.0,2.5,1.88
09C3b,215,32.0,2.6,0.19
09C3b,261,72.0,5.9,10.73
09C3b,287,12.0,2.3,1.89
09C3b,506,4.0,2.0,5.9
09C3b,629,40.0,2.1,0.28
09C3b,673,72.0,3.7,1.35
09C3b,675,20.0,2.2,0.38
09C3b,683,32.0,5.0,0.53
09C3b,747,48.0,2.9,4.03
09C3b,948,8.0,2.0,0.17
09C3b,1006,44.0,10.0,2.13
09C3b,1066,8.0,2.0,0.23
09C3b,1111,40.0,2.3,8.31
09C3b,1124,76.0,9.7,1.1
09C3b,1150,52.0,2.1,1.25
09C3b,1310,4.0,2.0,0.09
09C3b,1311,8.0,2.0,0.71
09C3b,1921,44.0,13.1,0.52
09C3b,2316,16.0,2.5,0.97
09C3b,2324,16.0,2.0,0.71
09C3b,2574,28.0,6.4,7.25
09C3b,3415,16.0,2.3,100.0
09C3b,9500,12.0,59.3,4.18
09C3b,725,20.0,2.6,0.44
09C3b,748,16.0,2.0,6.65
09C3b,813,56.0,4.5,1.01
09C3b,884,12.0,2.0,3.0
09C3b,923,8.0,2.5,1.39
09C3b,1048,24.0,2.0,0.47
09C3b,2576,8.0,8.0,10.22
09C3b,2613,8.0,7.5,52.03
09C3b,232,68.0,8.5,3.88
09C3b,440,12.0,3.3,0.48
09C3b,461,36.0,2.3,2.39
09C3b,641,32.0,4.6,0.4
09C3b,785,4.0,2.0,0.06
09C3b,2430,8.0,2.0,0.05
09C3b,6106,4.0,2.0,0.68
09C3b,19,12.0,14.0,0.26
09C3b,174,32.0,4.5,0.23
09C3b,332,8.0,2.0,0.25
09C3b,429,8.0,2.0,0.97
09C3b,463,8.0,3.0,0.12
09C3b,780,16.0,2.0,0.31
09C3b,1008,12.0,3.0,0.16
09C3b,1265,4.0,2.0,2.3
09C3b,1544,8.0,2.0,0.03
09C3b,2376,20.0,2.2,0.2
09C3b,2620,24.0,23.7,0.81
09C3b,2628,20.0,2.6,1.44
09C3b,2706,8.0,13.0,13.04
09C3b,3446,8.0,3.0,29.78
09C3b,3458,8.0,2.5,5.82
09C3b,266,8.0,5.5,0.68
09C3b,438,24.0,5.8,1.16
09C3b,562,8.0,3.0,8.57
09C3b,581,36.0,2.7,0.65
09C3b,608,8.0,3.0,34.48
09C3b,631,24.0,2.2,0.06
09C3b,958,16.0,3.8,0.16
09C3b,3316,4.0,3.0,3.25
09C3b,3430,12.0,36.3,22.75
09C3b,285,44.0,2.3,10.6
09C3b,509,24.0,2.3,7.46
09C3b,685,20.0,2.2,0.78
09C3b,1300,8.0,5.0,0.48
09C3b,1306,36.0,2.9,0.28
09C3b,671,8.0,5.0,6.1
09C3b,1161,4.0,2.0,0.11
09C3b,66,12.0,2.7,0.06
09C3b,437,4.0,2.0,0.03
09C3b,1199,12.0,3.0,0.22
09C3b,674,8.0,6.0,13.69
09C3b,1156,20.0,2.0,0.15
09C3b,2515,4.0,18.0,4.23
09C3b,3301,4.0,3.0,0.86
09C3b,386,4.0,2.0,0.06
09C3b,445,4.0,2.0,0.05
09C3b,447,8.0,10.0,0.15
09C3b,912,8.0,2.0,0.08
09C3b,1067,8.0,28.0,4.12
09C3b,296,8.0,2.0,0.11
09C3b,761,12.0,2.3,0.12
09C3b,879,4.0,2.0,0.37
09C3b,944,4.0,2.0,0.23
09C3b,946,4.0,2.0,0.02
09C3b,2603,8.0,2.5,0.71
09C3b,3455,12.0,2.7,12.85
09C3b,679,4.0,2.0,0.12
09C3b,2976,8.0,2.0,0.04
09C3b,117,8.0,2.0,0.09
09C3b,457,8.0,2.0,0.88
09C3b,517,8.0,35.0,2.02
09C3b,6208,4.0,3.0,3.18
09C3b,1305,4.0,2.0,0.05
09C3b,1914,4.0,2.0,0.19
09C3b,293,4.0,3.0,2.24
09C3b,1029,4.0,2.0,0.08
09C3b,841,12.0,2.0,1.02
09C3b,53,4.0,8.0,3.36
09C3b,286,4.0,1.0,1.83
09C3b,446,4.0,8.0,0.06
09C3b,582,4.0,3.0,0.03
09C3b,840,4.0,2.0,0.3
09C3b,977,4.0,2.0,0.15
09C3b,1010,4.0,2.0,0.09
09C3b,1056,8.0,1.5,0.02
09C3b,1094,4.0,1.0,0.02
09C3b,1109,4.0,2.0,3.08
09C3b,1112,8.0,2.0,0.3
09C3b,1159,4.0,2.0,0.48
09C3b,1190,4.0,3.0,0.26
09C3b,1380,4.0,2.0,0.1
09C3b,1382,4.0,1.0,0.11
09C3b,1545,4.0,8.0,0.51
09C3b,2547,4.0,2.0,0.66
09C3b,2567,4.0,2.0,0.02
09C3b,2577,4.0,3.0,0.37
09C3b,2609,4.0,3.0,16.46
09C3b,2642,4.0,38.0,1.09
09C3b,2753,4.0,3.0,3.18
09C3b,2788,4.0,1.0,0.01
09C3b,2942,4.0,1.0,0.01
09C3b,3464,4.0,3.0,2.47
09C3b,205,8.0,2.5,0.13
09C3b,288,8.0,2.0,2.1
09C3b,870,8.0,2.0,1.93
09C3b,1158,4.0,2.0,0.2
09C3b,2624,8.0,18.0,7.25
09C3b,2700,4.0,2.0,0.14
09C3b,225,4.0,3.0,0.07
09C3b,456,4.0,1.0,0.18
09C3b,3456,4.0,3.0,15.99
09C3b,556,4.0,3.0,0.22
09C3b,763,4.0,2.0,0.06
09C3b,1017,4.0,2.0,0.08
09C3b,2729,4.0,2.0,0.02
09C3b,2735,4.0,3.0,0.59
09C3c,215,11.1,3.0,0.08
09C3c,266,88.9,2.4,3.28
09C3c,461,55.6,2.0,3.21
09C3c,473,100.0,36.7,3.89
09C3c,518,66.7,5.0,0.8
09C3c,672,33.3,2.7,3.2
09C3c,673,55.6,1.4,0.39
09C3c,761,22.2,2.5,0.24
09C3c,766,22.2,2.0,0.19
09C3c,921,100.0,1.7,4.62
09C3c,1008,100.0,5.3,2.43
09C3c,1124,100.0,6.8,1.01
09C3c,1150,100.0,12.7,14.52
09C3c,1199,88.9,4.6,2.45
09C3c,2376,11.1,2.0,0.1
09C3c,2620,33.3,2.7,0.13
09C3c,2628,11.1,13.0,4.0
09C3c,2735,22.2,35.0,38.47
09C3c,3301,11.1,2.0,1.6
09C3c,6106,11.1,3.0,2.83
09C3c,66,33.3,3.0,0.2
09C3c,174,44.4,3.0,0.21
09C3c,224,11.1,3.0,0.85
09C3c,232,77.8,1.4,0.73
09C3c,244,77.8,1.7,0.51
09C3c,248,33.3,3.3,0.51
09C3c,285,11.1,2.0,2.33
09C3c,335,22.2,2.0,0.33
09C3c,367,11.1,3.0,0.21
09C3c,447,66.7,9.3,1.17
09C3c,556,33.3,2.7,1.68
09C3c,557,11.1,2.0,0.09
09C3c,561,11.1,13.0,7.03
09C3c,631,66.7,1.5,0.12
09C3c,641,77.8,3.9,0.83
09C3c,727,11.1,2.0,0.36
09C3c,763,66.7,1.7,0.85
09C3c,813,66.7,1.7,0.45
09C3c,877,11.1,2.0,0.37
09C3c,1006,11.1,3.0,0.16
09C3c,1017,66.7,1.7,1.08
09C3c,1029,22.2,1.5,0.31
09C3c,1111,11.1,2.0,2.01
09C3c,1265,11.1,2.0,6.39
09C3c,1305,55.6,1.0,0.38
09C3c,1306,22.2,2.5,0.15
09C3c,1369,22.2,2.0,0.74
09C3c,1544,11.1,13.0,0.25
09C3c,1921,11.1,2.0,0.02
09C3c,1933,11.1,2.0,0.42
09C3c,2788,11.1,2.0,0.03
09C3c,3458,11.1,2.0,6.46
09C3c,261,11.1,2.0,0.56
09C3c,558,11.1,3.0,1.81
09C3c,688,11.1,2.0,0.18
09C3c,889,11.1,1.0,0.97
09C3c,924,11.1,3.0,2.48
09C3c,933,66.7,1.5,0.11
09C3c,963,11.1,2.0,0.35
09C3c,1474,11.1,4.0,0.13
09C3c,2679,11.1,2.0,0.03
09C3c,2792,11.1,2.0,0.05
09C3c,6450,11.1,1.0,1.84
09C3c,476,11.1,1.0,0.05
09C3c,674,11.1,1.0,3.17
09C3c,923,44.4,1.0,3.09
09C3c,2316,44.4,1.0,1.08
09C3c,18,33.3,1.0,0.03
09C3c,438,33.3,2.0,0.56
09C3c,747,33.3,1.0,0.96
09C3c,2430,33.3,1.0,0.11
09C3c,255,11.1,3.0,1.22
09C3c,649,11.1,2.0,0.28
09C3c,685,11.1,3.0,0.59
09C3c,870,11.1,2.0,2.68
09C3c,1067,11.1,2.0,0.41
09C3c,1089,11.1,2.0,0.03
09C3c,2213,11.1,2.0,6.35
09C3c,2942,11.1,3.0,0.07
09C3c,337,11.1,3.0,0.19
09C3c,950,11.1,1.0,1.17
10/b,28,8.0,2.0,0.24
10/b,260,40.0,10.2,1.72
10/b,463,4.0,3.0,0.06
10/b,821,4.0,2.0,0.05
10/b,866,100.0,25.2,18.4
10/b,995,4.0,2.0,0.05
10/b,1318,12.0,7.3,1.04
10/b,239,4.0,13.0,0.53
10/b,640,8.0,3.0,0.1
10/b,933,4.0,13.0,0.05
10/b,1155,8.0,3.0,0.66
10/b,1317,4.0,3.0,0.09
10/b,335,4.0,2.0,0.06
10/b,2343,68.0,14.1,3.31
10/b,3004,52.0,20.7,1.11
10/b,1324,32.0,8.3,1.3
10/b,832,8.0,2.5,0.01
10/b,2996,44.0,27.4,5.0
10/b,346,4.0,2.0,0.04
10/b,644,4.0,2.0,0.29
10/b,673,4.0,2.0,0.04
10/b,680,32.0,2.6,0.21
10/b,783,4.0,3.0,0.29
10/b,929,4.0,2.0,0.12
10/b,1000,4.0,13.0,0.67
10/b,1544,4.0,3.0,0.02
10/b,3026,4.0,68.0,5.85
10/b,476,8.0,6.0,0.2
10/b,3012,4.0,8.0,1.23
10/b,436,12.0,6.3,0.71
10/b,2705,8.0,2.0,0.08
10/b,2131,4.0,1.0,0.04
10/b,9500,16.0,10.3,0.97
10/b,641,4.0,3.0,0.03
10/b,1154,12.0,5.0,1.44
10/b,943,4.0,1.0,0.01
10/b,2995,4.0,3.0,0.07
10/b,6422,4.0,1.0,1.43
10/b,584,4.0,3.0,0.04
10-a,260,100.0,21.2,8.92
10-a,476,20.0,2.0,0.17
10-a,3004,65.0,49.4,3.31
10-a,3026,5.0,68.0,7.32
10-a,2343,15.0,1.7,0.09
10-a,2996,30.0,38.3,4.76
10-a,832,20.0,1.3,0.02
10-a,2705,15.0,1.7,0.13
10-a,1324,15.0,1.7,0.12
10-a,913,5.0,3.0,0.07
10-a,3239,5.0,3.0,0.02
10-a,680,5.0,2.0,0.03
10-a,2700,10.0,13.0,2.34
10-a,437,10.0,2.0,0.08
10-a,1544,15.0,2.7,0.07
10-a,1914,5.0,2.0,0.23
10-b,476,100.0,28.3,11.73
10-b,3004,87.1,62.0,5.57
10-b,479,6.5,2.0,0.05
10-b,680,12.9,2.3,0.07
10-b,832,41.9,4.5,0.12
10-b,2705,6.5,8.0,0.26
10-b,260,16.1,1.8,0.12
10-b,1544,6.5,2.5,0.03
10-b,3026,3.2,88.0,6.06
10-b,1324,6.5,3.0,0.1
10-b,139,6.5,1.5,0.01
10-b,2996,6.5,45.0,1.21
10-b,36,3.2,2.0,0.01
10-b,2343,6.5,1.5,0.03
10-b,3239,19.4,48.8,1.39
10-b,866,3.2,2.0,0.05
10-b,219,3.2,1.0,0.06
10-b,473,6.5,1.0,0.01
10-b,6077,6.5,2.5,0.17
10-c,2343,23.8,10.6,0.87
10-c,3004,100.0,74.5,7.68
10-c,437,4.8,13.0,0.26
10-c,476,28.6,1.8,0.21
10-c,346,4.8,2.0,0.05
10-c,832,23.8,2.0,0.03
10-c,2705,4.8,8.0,0.19
10-c,1544,9.5,5.5,0.09
10-c,2704,9.5,2.5,4.05
10-c,473,4.8,1.0,0.01
10-c,239,4.8,2.0,0.1
10-c,2635,4.8,2.0,0.65
10-c,2836,4.8,2.0,0.93
10-c,479,4.8,18.0,0.35
10-d,476,42.9,9.8,1.74
10-d,1324,100.0,80.1,39.22
10-d,2343,35.7,9.8,1.21
10-d,2131,14.3,63.0,8.71
10-d,680,21.4,2.3,0.12
10-d,832,21.4,2.7,0.04
10-d,723,7.1,2.0,0.05
10-d,417,7.1,2.0,0.35
10-d,3004,28.6,29.3,0.86
10-e,832,100.0,37.3,2.46
10-e,3004,75.0,39.8,3.08
10-e,139,18.8,1.7,0.03
10-e,479,6.3,2.0,0.05
10-e,2632,6.3,3.0,6.61
10-e,2705,31.3,6.4,1.02
10-e,2920,6.3,13.0,0.51
10-e,2923,6.3,3.0,0.09
10-e,3330,6.3,68.0,10.65
10-e,568,6.3,2.0,0.86
10-e,654,6.3,2.0,0.08
10-e,1227,6.3,2.0,0.04
10-e,3239,31.3,23.2,1.06
10-e,476,50.0,8.4,1.74
10-e,3364,6.3,2.0,0.14
10-e,641,6.3,8.0,0.14
10-e,680,18.8,2.0,0.09
10-e,1056,6.3,1.0,0.01
10-e,1321,6.3,1.0,0.01
10-e,2343,6.3,40.0,0.87
10-e,1544,6.3,2.0,0.02
10-e,2635,6.3,2.0,0.85
10-e,3169,6.3,68.0,7.39
10-e,426,6.3,1.0,0.07
10-e,6077,12.5,1.5,0.2
10-e,418,6.3,2.0,0.19
10-f,2343,100.0,48.9,16.87
10-f,3004,100.0,65.0,6.7
10-f,476,11.8,2.0,0.1
10-f,3015,11.8,2.0,0.07
10-f,680,5.9,2.0,0.03
10-f,832,11.8,2.0,0.02
10-f,2996,52.9,25.6,5.61
10-f,933,5.9,2.0,0.01
10-f,260,5.9,2.0,0.05
10-f,2705,5.9,2.0,0.06
10-f,437,5.9,3.0,0.07
10-f,2700,5.9,2.0,0.21
10-g,436,100.0,28.2,26.6
10-g,476,41.5,3.0,0.52
10-g,832,39.6,5.4,0.14
10-g,2343,69.8,9.7,2.34
10-g,2705,9.4,16.6,0.79
10-g,3004,100.0,67.9,7.0
10-g,3026,1.9,3.0,0.12
10-g,3344,3.8,2.0,0.63
10-g,641,20.8,7.5,0.42
10-g,2996,30.2,27.6,3.45
10-g,3015,1.9,2.0,0.01
10-g,260,3.8,2.0,0.03
10-g,1544,26.4,5.6,0.25
10-g,2995,1.9,8.0,0.08
10-g,2701,1.9,3.0,0.13
10-g,437,3.8,2.5,0.04
10-g,6077,1.9,2.0,0.04
10-g,1914,1.9,2.0,0.09
10-g,3239,1.9,88.0,0.24
10-g,9500,1.9,40.0,0.45
10-g,680,3.8,2.0,0.02
10-g,725,1.9,1.0,0.02
10-g,1048,1.9,3.0,0.06
10-g,1056,1.9,1.0,0.0
10-g,2376,1.9,1.0,0.01
10-h,139,15.4,1.5,0.02
10-h,186,7.7,2.0,0.02
10-h,219,30.8,2.0,1.18
10-h,260,7.7,2.0,0.06
10-h,476,61.5,1.9,0.48
10-h,479,100.0,61.4,24.74
10-h,2544,7.7,18.0,1.05
10-h,3004,69.2,45.2,3.23
10-h,3026,7.7,8.0,1.33
10-h,426,7.7,1.0,0.08
10-h,832,92.3,2.7,0.16
10-h,3239,38.5,8.0,0.45
10-h,473,15.4,1.5,0.02
10-h,3169,7.7,88.0,11.69
10-h,2666,7.7,2.0,1.33
10-h,2700,7.7,2.0,0.28
10-h,6077,23.1,1.0,0.24
10-h,680,15.4,2.5,0.1
10-h,3006,30.8,11.0,1.55
10-h,244,7.7,1.0,0.03
10-h,913,7.7,2.0,0.07
10-h,2705,7.7,4.0,0.16
10-h,3015,7.7,8.0,0.2
10-h,2995,15.4,20.0,1.72
10-i,473,35.7,1.6,0.06
10-i,476,92.9,5.5,2.12
10-i,670,7.1,38.0,0.97
10-i,913,100.0,71.4,32.27
10-i,943,35.7,1.2,0.06
10-i,2923,7.1,38.0,1.26
10-i,3239,57.1,66.8,5.59
10-i,186,21.4,1.7,0.04
10-i,260,28.6,3.0,0.36
10-i,832,50.0,2.1,0.07
10-i,244,7.1,2.0,0.06
10-i,479,28.6,1.3,0.15
10-i,4215,14.3,1.5,100.0
10-i,139,7.1,2.0,0.01
10-i,3004,35.7,71.6,2.64
10-i,2544,7.1,3.0,0.16
10-i,3169,7.1,68.0,8.33
10-i,530,7.1,1.0,0.03
10-j,260,9.1,3.0,0.11
10-j,680,36.4,23.0,2.11
10-j,832,27.3,16.3,0.29
10-j,1318,9.1,13.0,1.4
10-j,2343,45.5,14.4,2.26
10-j,2705,100.0,48.2,24.44
10-j,2923,9.1,13.0,0.55
10-j,3004,100.0,39.5,4.07
10-j,1324,9.1,2.0,0.09
10-j,2706,9.1,2.0,2.28
10-j,2996,18.2,38.0,2.87
10-j,675,18.2,8.0,1.27
10-j,248,9.1,2.0,0.08
10-j,417,9.1,1.0,0.23
10-j,641,9.1,2.0,0.05
10-j,1544,18.2,21.0,0.66
10-j,437,18.2,28.0,2.12
10-j,211,9.1,1.0,0.03
10-j,436,9.1,3.0,0.26
10-j,476,9.1,3.0,0.11
10-j,9500,18.2,22.0,2.35
10-j,584,27.3,4.3,0.36
10-k,584,29.4,25.0,2.27
10-k,2343,29.4,4.6,0.47
10-k,2705,29.4,12.8,1.91
10-k,3004,100.0,72.2,7.45
10-k,437,82.4,33.4,11.47
10-k,641,5.9,3.0,0.05
10-k,1544,17.6,5.7,0.17
10-k,476,5.9,2.0,0.05
10-k,2996,5.9,2.0,0.05
10-k,260,5.9,3.0,0.07
10-k,1914,11.8,25.5,7.03
10-l,260,24.5,3.4,0.35
10-l,680,100.0,20.3,5.12
10-l,832,32.7,4.3,0.09
10-l,1318,2.0,13.0,0.31
10-l,2343,28.6,13.2,1.3
10-l,2705,36.7,11.2,2.08
10-l,2923,2.0,13.0,0.12
10-l,3004,55.1,25.8,1.47
10-l,244,4.1,2.5,0.04
10-l,3026,2.0,68.0,2.93
10-l,19,4.1,3.0,0.02
10-l,641,6.1,3.0,0.05
10-l,952,2.0,2.0,0.02
10-l,2920,4.1,20.0,0.51
10-l,417,4.1,2.0,0.2
10-l,1949,2.0,3.0,0.08
10-l,476,14.3,3.9,0.23
10-l,1324,2.0,3.0,0.03
10-l,2996,12.2,19.3,0.98
10-l,426,4.1,1.5,0.07
10-l,140,2.0,2.0,0.01
10-l,3239,20.4,39.4,1.18
10-l,2836,10.2,6.8,6.74
10-l,913,4.1,2.0,0.04
10-l,929,2.0,2.0,0.06
10-l,139,2.0,1.0,0.0
10-l,631,2.0,3.0,0.01
10-l,659,2.0,1.0,0.1
10-l,780,2.0,1.0,0.02
10-l,925,2.0,1.0,0.14
10-l,972,2.0,3.0,0.03
10-l,1544,10.2,6.0,0.11
10-l,1914,2.0,1.0,0.05
10-l,6459,2.0,3.0,0.19
10-l,436,2.0,9.0,0.17
10-l,1119,2.0,1.0,0.01
10-l,1154,2.0,1.0,0.05
10-l,2995,2.0,3.0,0.03
10-l,6445,2.0,3.0,27.78
10-l,479,2.0,1.0,0.01
10-l,219,6.1,8.0,0.93
10-l,2544,2.0,2.0,0.03
10-l,3327,2.0,2.0,0.27
10-l,6077,2.0,1.0,0.02
10-l,3006,10.2,19.0,0.89
10-l,3169,6.1,59.7,6.28
10-l,933,2.0,8.0,0.02
10A-a,55,9.1,3.0,0.44
10A-a,186,9.1,2.0,0.02
10A-a,417,63.6,2.3,3.63
10A-a,418,18.2,5.0,1.36
10A-a,473,36.4,5.8,0.22
10A-a,476,63.6,5.3,1.4
10A-a,832,81.8,4.9,0.26
10A-a,1068,100.0,61.4,57.33
10A-a,1330,9.1,2.0,0.75
10A-a,2700,9.1,2.0,0.33
10A-a,3004,90.9,50.5,4.73
10A-a,3425,9.1,68.0,25.73
10A-a,3483,9.1,3.0,13.64
10A-a,1069,9.1,2.0,0.37
10A-a,530,9.1,2.0,0.07
10A-a,3364,27.3,44.7,13.75
10A-a,2704,9.1,2.0,3.1
10A-a,2996,9.1,3.0,0.11
10A-a,4116,9.1,2.0,100.0
10A-a,2343,9.1,2.0,0.06
10A-a,913,9.1,8.0,0.33
10A-a,943,9.1,2.0,0.03
10A-a,849,9.1,1.0,0.03
10A-a,933,9.1,1.0,0.01
10A1a,1323,0.8,2.0,0.2
10A1a,1324,28.1,16.3,2.24
10A1a,2996,81.3,31.3,10.54
10A1a,832,10.2,4.5,0.03
10A1a,2343,49.2,11.4,1.93
10A1a,2705,29.7,20.8,3.13
10A1a,3004,81.3,24.3,2.04
10A1a,476,34.4,8.2,1.17
10A1a,3026,7.8,28.3,4.75
10A1a,437,3.9,3.2,0.05
10A1a,417,4.7,5.8,0.68
10A1a,260,30.5,6.4,0.82
10A1a,866,4.7,7.7,0.26
10A1a,644,0.8,3.0,0.09
10A1a,821,4.7,5.2,0.14
