SYNTAXON,SPECIES_NR,PRESENTIE,KARAKT_BED,TROUW
01A2,2132,2.9,2.0,0.21
01A2,299,26.5,26.1,5.09
01A2,442,20.6,16.7,1.68
01A2,722,29.4,12.8,5.44
01A2,995,5.9,16.5,0.6
01A2,1395,17.6,5.2,17.24
01A2,724,41.2,37.0,7.89
01A2,18,5.9,1.0,0.0
01A2,127,17.6,18.2,87.52
01A2,1215,5.9,1.5,0.06
01A2,441,2.9,1.0,0.02
01A2,866,2.9,1.0,0.02
01A2,989,2.9,1.0,1.1
01A2,992,2.9,1.0,0.28
01A2,1255,5.9,1.0,0.09
01A2,326,2.9,1.0,0.04
01A2,463,5.9,3.0,0.09
01A2,813,2.9,8.0,0.09
01A2,859,5.9,10.0,0.61
01A2,1216,2.9,1.0,0.15
01A2,1318,5.9,1.0,0.07
01A2,933,14.7,1.6,0.02
01A2,1046,2.9,8.0,0.18
01A2,9500,8.8,19.0,0.98
01A2,171,2.9,1.0,0.07
01A2,585,8.8,1.0,0.04
01A2,972,8.8,1.0,0.05
01A2,1003,5.9,5.5,1.07
01A2,1002,5.9,4.0,0.16
01A2,1114,5.9,1.0,0.1
01A2,2135,2.9,93.0,2.51
01A2,28,2.9,1.0,0.04
01A2,144,2.9,1.0,0.06
01A2,584,2.9,1.0,0.01
01A2,1099,2.9,1.0,0.07
01A2,1156,2.9,1.0,0.01
01A2,1229,5.9,1.5,0.1
01A2,1914,2.9,1.0,0.07
01A2,930,2.9,2.0,0.02
01B1a,18,15.8,2.7,0.03
01B1a,451,5.3,4.0,0.11
01B1a,490,5.3,4.0,0.14
01B1a,640,52.6,11.9,2.73
01B1a,723,89.5,13.5,3.99
01B1a,783,5.3,2.0,0.25
01B1a,929,5.3,4.0,0.32
01B1a,933,42.1,5.0,0.22
01B1a,1048,5.3,2.0,0.1
01B1a,1099,10.5,2.0,0.48
01B1a,1318,5.3,2.0,0.13
01B1a,3478,57.9,27.4,87.55
01B1a,441,15.8,4.0,0.5
01B1a,463,15.8,2.0,0.16
01B1a,584,10.5,10.0,0.32
01B1a,585,31.6,3.5,0.46
01B1a,1255,15.8,12.3,3.09
01B1a,3468,84.2,23.1,68.57
01B1a,171,10.5,2.0,0.54
01B1a,724,42.1,5.8,1.26
01B1a,844,21.1,2.8,0.57
01B1a,851,5.3,8.0,0.45
01B1a,1229,10.5,13.0,1.56
01B1a,1241,57.9,3.0,1.41
01B1a,128,5.3,2.0,0.4
01B1a,141,15.8,2.0,1.62
01B1a,244,10.5,2.0,0.08
01B1a,813,5.3,2.0,0.04
01B1a,868,5.3,18.0,1.17
01B1a,1215,10.5,5.5,0.42
01B1a,1395,10.5,2.0,3.96
01B1a,2153,5.3,4.0,0.91
01B1a,28,10.5,2.0,0.32
01B1a,205,15.8,7.3,0.74
01B1a,259,5.3,2.0,0.07
01B1a,638,5.3,2.0,0.09
01B1a,967,10.5,2.0,0.19
01B1a,1074,10.5,3.0,0.35
01B1a,127,10.5,2.0,5.74
01B1a,326,5.3,38.0,3.07
01B1a,1317,10.5,13.0,0.99
01B1a,249,5.3,2.0,0.11
01B1a,1324,5.3,4.0,0.1
01B1a,1327,10.5,10.0,1.24
01B1a,299,5.3,2.0,0.08
01B1a,2155,5.3,1.0,0.26
01B1a,6543,5.3,1.0,1.77
01B1a,997,5.3,3.0,0.96
01B1a,1231,5.3,2.0,0.26
01B1a,178,5.3,2.0,0.08
01B1a,346,5.3,1.0,0.03
01B1b,171,12.5,2.5,0.8
01B1b,441,12.5,10.0,0.99
01B1b,463,12.5,3.0,0.19
01B1b,585,18.8,1.3,0.1
01B1b,640,25.0,7.8,0.85
01B1b,723,56.3,7.3,1.36
01B1b,724,100.0,69.9,36.19
01B1b,869,6.3,2.0,0.84
01B1b,995,18.8,2.0,0.23
01B1b,999,6.3,3.0,0.42
01B1b,1114,6.3,2.0,0.21
01B1b,1255,12.5,1.5,0.3
01B1b,933,43.8,5.0,0.23
01B1b,967,12.5,2.0,0.23
01B1b,1318,6.3,2.0,0.15
01B1b,300,6.3,2.0,0.19
01B1b,1161,6.3,13.0,1.15
01B1b,1156,12.5,10.5,0.48
01B1b,128,6.3,2.0,0.48
01B1b,1241,6.3,1.0,0.05
01B1b,584,6.3,1.0,0.02
01B1b,990,6.3,1.0,0.08
01B1b,991,12.5,1.0,0.34
01B1b,1002,12.5,1.0,0.09
01B1b,1048,6.3,1.0,0.06
01B1b,2147,6.3,2.0,0.15
01B1b,638,6.3,8.0,0.45
01B1b,1046,12.5,1.5,0.14
01B1b,851,6.3,1.0,0.07
01B1b,998,18.8,26.3,3.61
01B1b,6291,6.3,1.0,0.14
01B1b,442,6.3,3.0,0.09
01B1b,865,6.3,1.0,0.08
01B1b,994,6.3,1.0,0.1
01B1b,1229,12.5,1.5,0.21
01B1b,6422,6.3,8.0,18.01
01B1b,28,6.3,3.0,0.29
01B1b,722,6.3,3.0,0.27
01B1b,1964,6.3,3.0,0.46
01B1b,9500,6.3,38.0,1.4
01B1b,299,6.3,1.0,0.05
02A1,1107,100.0,39.2,95.78
02A1,1156,3.6,2.0,0.03
02A1,998,39.3,16.6,4.76
02A1,1397,32.1,10.6,9.02
02A1,2135,3.6,13.0,0.44
02A1,2141,3.6,2.0,0.09
02A1,128,3.6,3.0,0.41
02A1,722,14.3,2.3,0.48
02A1,299,10.7,6.0,0.47
02A1,1002,7.1,5.5,0.27
02A1,2132,35.7,11.2,14.47
02A1,442,3.6,8.0,0.14
02A1,724,10.7,7.0,0.39
02A1,1044,3.6,3.0,0.26
02A1,1396,3.6,18.0,9.67
02A1,6422,3.6,2.0,2.57
02A1,723,10.7,1.7,0.06
02A1,1233,7.1,2.0,0.16
02A1,851,17.9,5.8,1.1
02A1,1108,3.6,8.0,0.53
02A1,9500,14.3,45.5,3.82
02A1,18,7.1,1.5,0.01
02A1,1964,7.1,40.5,6.95
02A1,999,7.1,3.0,0.47
02A1,2131,10.7,8.0,0.83
02A1,6097,7.1,3.0,0.29
02A2,998,33.3,37.6,9.14
02A2,1108,100.0,54.4,99.47
02A2,1397,4.8,3.0,0.38
02A2,2132,38.1,12.4,17.1
02A2,9500,57.1,8.9,2.98
02A2,722,4.8,1.0,0.07
02A2,933,9.5,1.0,0.01
02A2,1156,4.8,1.0,0.02
03A1,1399,100.0,58.0,98.8
03A1,6458,19.6,1.6,1.0
03A1,1233,42.9,1.4,0.67
03A1,1636,3.6,4.5,0.48
03A1,1398,33.9,2.2,1.4
03A2,1398,100.0,52.4,98.47
03A2,2132,5.3,4.0,0.77
03A2,2135,5.3,88.0,4.35
03A2,9500,5.3,3.0,0.09
03A2,998,5.3,2.0,0.08
03A2,1399,42.1,1.5,1.08
04-a,998,22.7,2.0,0.33
04-a,1964,9.1,2.5,0.55
04-a,2145,100.0,64.1,65.66
04-a,346,9.1,2.5,0.12
04-a,640,18.2,2.3,0.18
04-a,723,31.8,2.6,0.27
04-a,724,27.3,2.2,0.31
04-a,1317,13.6,2.0,0.2
04-a,3239,4.5,2.0,0.01
04-a,427,4.5,2.0,0.08
04-a,1241,18.2,3.0,0.44
04-a,933,22.7,2.2,0.05
04-a,995,13.6,4.7,0.4
04-a,1318,9.1,2.5,0.27
04-a,1327,9.1,2.5,0.27
04-a,2140,4.5,4.0,45.23
04-a,18,4.5,18.0,0.06
04-a,442,22.7,16.4,1.82
04-a,673,4.5,3.0,0.07
04-a,987,4.5,2.0,0.21
04-a,1002,9.1,2.0,0.13
04-a,1156,4.5,38.0,0.62
04-a,9500,9.1,3.0,0.16
04-a,852,4.5,3.0,0.25
04-a,985,4.5,8.0,2.58
04-a,990,4.5,2.0,0.12
04-a,2155,4.5,18.0,3.9
04-a,851,9.1,19.5,1.89
04-a,2144,4.5,3.0,9.99
04-a,585,9.1,2.0,0.08
04-a,992,4.5,2.0,0.87
04-a,994,9.1,2.0,0.3
04-a,1046,9.1,1.5,0.11
04-a,1914,18.2,1.8,0.77
04-a,2750,9.1,2.0,1.58
04-a,441,22.7,2.0,0.36
04-a,722,4.5,1.0,0.07
