code_sbb,sbb_beginjaar,sbb_eindjaar,code_rvvn_2018,code_vvn_1998,code_veldgids_2015,sbb_in_rvvn,kov_codes,kov_verbonden,vvbh,sbb_nednaam_voor_2019,sbb_wetnaam_kort_voor_2019,sbb_wetnaam_voor_2019,opmerking_piet_schipper_2018,opmerking_john_jansen_2018,opmerking_code_vvn_1998,opmerking_code_veldgids_2015
10-g,1998,,r06RG06,06RG03,,ja,"06-c,10-g",06-c,3,RG Veelst.w.bies-Veenmos-[Oeverkr./Kl.h.veensl.],RG Eleocharis multic-Sphagn-[Littorel/Scheuchz],RG Eleocharis multicaulis-Sphagnum cuspidatum-[Littorelletea/Scheuchzerietea],,,,
10-h,1998,,r11RG02,11RG01,11RG02,ja,"10-h,11-d",11-d,3,RG Eena.wollegr.-Veenmos-[K.hveensl/K.hveen.hei],RG Eriophorum vagi-Sphagnum-[Scheuchz/Ox-Sphagn],RG Eriophorum vaginatum-Sphagnum-[Scheuchzerietea/Oxycocco-Sphagnetea],,Ondanks naam denkt de r11RG02 ook de Scheuchzerietea af (dus betreft feitenlijk klassenoverschrijdende romp),,
10-i,1998,,r10RG03,,10RG03,ja,"10-i,11B-c",11B-c,3,RG Kleine veenbes-[K.hoogveenslenken/Veenmos-vb],RG Oxycoccus palust-[Scheuchzerietea/Ox-Ericion],RG Oxycoccus palustris-[Scheuchzerietea/Oxycocco-Ericion],,,,
10-j,1998,,r10RG08,,,ja,"09-n,10-j",08-n,4,RG Ven-sikkelmos-Veenmos-[Kl. v hoogveenslenken],RG Drepanocladus fluitans-Sphagnum-[Scheuchzer.],RG Warnstorfia fluitans-[Parvocaricetea/Scheuchzerietea],,,,
10-k,2003,,r10RG09,,10RG09,ja,,,3,RG Gewone waterbies-Veenmos-[Kl.hoogveenslenken],RG Eleocharis palustris pa.-Sphagnum-[Scheuchz.],RG Eleocharis palustris-Sphagnum cuspidatum-[Scheuchzerietea],,,,
10/c,1998,2003,,,,ja,,,,,,,wijziging in 2003; naam vervalt en is vervangen door naam van 10-k,,,
10-l,2003,,r10DG01,10DG01,10DG01,ja,"09-k,10-l,11-l",09-k; 11-l,4,RG Pitrus - Veenmos-[Kl. van hoogveenslenken],RG Juncus effusus - Sphagnum-[Scheuchzerietea],RG Juncus effusus-[Parvocaricetea/Scheuchzerietea/Oxycocco-Sphagnetea],,,,
10/a,1998,2003,,,,ja,,,,,,,wijziging in 2003; naam vervalt en is vervangen door naam van 10-l,,,
10-m,2011,,r10DG02,10DG02,,ja,"06-e,10-m",06-e,3,RG Witte waterlelie-[Oeverkruid-klasse/Klasse van hoogveenslenken],RG Nymphaea alba-[Littorelletea/Scheuchzerietea],RG Nymphaea alba-[Littorelletea/Scheuchzerietea],,,,
10/b,1998,2011,,,,ja,,,,,,,"wijziging in 2011; naam vervalt en is vervangen door naam van 10-m,",,,
11,1998,,r11,,,ja,,,,KLASSE DER HOOGVEENBULTEN EN NATTE HEIDEN,Oxycocco-Sphagnetea,Oxycocco-Sphagnetea,,,,
11A,1998,,r11Aa,11Aa,,ja,,,,Dophei-verbond,Ericion tetralicis,Ericion tetralicis,,,,
11A1,1998,,r11Aa01,11Aa01,,ja,,,,Associatie van Moeraswolfsklauw en Snavelbies,Lycopodio-Rhynchosporetum,Lycopodio-Rhynchosporetum,,,,
11A1a,1998,,r11Aa01,11Aa01,,ja,,,1,"Ass. Moeraswolfsklauw en Snavelbies, typ. subass",Lycopodio-Rhynchosporetum typicum,Lycopodio-Rhynchosporetum typicum,,,,
11A1b,1998,,r11Aa01,11Aa01,,ja,,,2,"Ass. Moeraswolfsklauw-Snavelbies, srt.-arme sub.",Lycopodio-Rhynchosporetum inops,Lycopodio-Rhynchosporetum inops,,,,
11A2,1998,,r11Aa02,11Aa02,,ja,,,,Associatie van Gewone dophei,Ericetum tetralicis,Ericetum tetralicis,,,,
11A2a,1998,,r11Aa02a,11Aa02a,,ja,,,1,"Associatie v Gewone dophei, subass. v veenmos",Ericetum tetralicis sphagnetosum,Ericetum tetralicis sphagnetosum,,,,
11A2b,1998,,r11Aa02b,11Aa02b,,ja,,,1,"Assoc. v Gewone dophei, subass. v Blauwe bosbes",Ericetum tetralicis vaccinietosum,Ericetum tetralicis vaccinietosum,,,,
11A2c,2000,,r11Aa02c,11Aa02c,,ja,,,1,"Associatie v Gewone dophei, typische subassoc.",Ericetum tetralicis typicum,Ericetum tetralicis typicum,,,,
11A2d,1998,,r11Aa02d,11Aa02d,,ja,,,1,"Associatie v Gewone dophei, subass. v Cladonia",Ericetum tetralicis cladonietosum,Ericetum tetralicis cladonietosum,,,,
11A2e,1998,,r11Aa02e,11Aa02e,,ja,,,1,"Ass. v Gewone dophei, subass. v Gevlekte orchis",Ericetum tetralicis orchietosum,Ericetum tetralicis orchietosum,,,,
11A2f,2000,,r11Aa02c,11Aa02c,,ja,,,3,"Associatie v Gewone dophei, soortenarme subass.",Ericetum tetralicis inops,Ericetum tetralicis inops,,,,
11A-c,1998,2000,,,,ja,,,,,,,wijziging in 2000; Opgeheven onderdeel van 11A2b. N.B. Code 11A-c wordt ten onrechte ook wel opgegeven voor RG Erica Tetralix,,,
11A-a,1998,,r11Aa02,11Aa02,,ja,,,3,RG Dophei-[Dophei-verbond],RG Erica tetralix-[Ericion tetralicis],RG Erica tetralix-[Ericion tetralicis],,,,
11A-b,1998,,,,,nee,,,3,RG Zygnemales-[Dophei-verbond],RG Zygnemales-[Ericion tetralicis],RG Zygnemales-[Ericion tetralicis],,Algengemeenschap (niet onderscheiden in VVN),,
11A3,1998,,r11Aa03,11Aa03,,ja,,,,Associatie van Kraaihei en Gewone Dophei,Empetro-Ericetum,Empetro-Ericetum,,,,
11A3c,2000,,r11Aa03,11Aa03,,ja,,,1,"Ass. v Kraaihei en Gewone Dophei, typ. subass.",Empetro-Ericetum typicum,Empetro-Ericetum typicum,,,,
11A3a,1998,,r11Aa03a,11Aa03a,,ja,,,3,"Ass. v Kraaihei en Gewone Dophei, subass. v Riet",Empetro-Ericetum phragmitetosum,Empetro-Ericetum phragmitetosum,,,,
11A3b,1998,,r11Aa03b,11Aa03b,,ja,,,1,"Ass. Kraaihei en Gewone Dophei, sub. Broedkelkje",Empetro-Ericetum gymnocoleetosum,Empetro-Ericetum gymnocoleetosum,,,,
11B,1998,,r11Ba,11Ba,,ja,,,,Veenmos-verbond,Oxycocco-Ericion,Oxycocco-Ericion,,,,
11B1,1998,,r11Ba01,11Ba01,,ja,,,,Associatie van Gewone dophei en Veenmos,Erico-Sphagnetum magellanici,Erico-Sphagnetum magellanici,,,,
11B1a,1998,,r11Ba01b,11Ba01b,,ja,,,1,"Ass. Gewone dophei en Veenmos, subass Struikhei",Erico-Sphagnetum magellanici callunetosum,Erico-Sphagnetum magellanici callunetosum,,,,
11B1b,1998,,r11Ba01,11Ba01,,ja,,,1,"Ass. Gewone dophei-Veenmos, sub Witte snavelbies",Erico-Sphagnetum magellanici rhynchosporetosum,Erico-Sphagnetum magellanici rhynchosporetosum,,,,
11B2,1998,,r11Ba02,11Ba02,,ja,,,1,Moerasheide,Sphagno palustris-Ericetum,Sphagno palustris-Ericetum,,,,
11B2,1998,,r11Ba02a,11Ba02a,,ja,,,1,Moerasheide,Sphagno palustris-Ericetum,Sphagno palustris-Ericetum,,,,
11B2,1998,,r11Ba02b,11Ba02b,,ja,,,1,Moerasheide,Sphagno palustris-Ericetum,Sphagno palustris-Ericetum,,,,
11B-a,1998,,r11Ba01a,11Ba01a,,ja,,,2,RG Struikhei-Hoogveenmos-[Veenmos-verbond],RG Calluna vul.-Sphagnum magellan.-[Ox.-Ericion],RG Calluna vulgaris-Sphagnum magellanicum-[Oxycocco-Ericion],,,,
11B-b,1998,,r11Ba01b,11Ba01b,,ja,,,3,RG Rode bosbes-Kraaiheide-Bronsmos-[Veenmos-vb],RG Vaccinium-Empetrum-Pleurozium-[Ox.-Ericion],RG Vaccinium vitis-idaea-Empetrum nigrum-Pleurozium schreberi-[Oxycocco-Ericion],,,,
11B-c,1998,,r10RG03,,,ja,"10-i,11B-c",10-i,2,RG Kleine veenbes-[K.hoogveenslenken/Veenmos-vb],RG Oxycoccus palust-[Scheuchzerietea/Ox-Ericion],RG Oxycoccus palustris-[Scheuchzerietea/Oxycocco-Ericion],,,,
11B-d,2003,,r11Ba01a,11Ba01a,,ja,,,2,RG Slank veenmos-[Veenmos-verbond],RG Sphagnum recurvum-[Oxycocco-Ericion],RG Sphagnum recurvum-[Oxycocco-Ericion],,,,
11-a,2000,,r10RG04,10RG02,,ja,"09-b,10-a,11-a",09-b; 10-a,2,RG Sn.zegge-V.mos-[K.kl.Zegg/K.hveensl/K.hv.hei],RG Carex rost-Sphag-[Parvocar/Scheuchz/Ox-Sphag],RG Carex rostrata-Sphagnum-[Parvocaricetea/Scheuchzerietea/Oxycocco-Sphagnetea],,,,
11-c,1998,,r11RG02,11RG01,,ja,,,3,"RG Eena.wollegr.-Pijpestro.[Kl.h.veenb.,nat.hei]",RG Eriophorum vag.-Molinia-[Oxycoc.-Sphagnetea],RG Eriophorum vaginatum-Molinia caerulea-[Oxycocco-Sphagnetea],,,,
11-d,1998,,r11RG02,11RG01,,ja,"10-h,11-d",10-h,3,RG Eena.wollegr.-Veenmos-[K.hveensl/K.hveen.hei],RG Eriophorum vagi-Sphagnum-[Scheuchz/Ox-Sphagn],RG Eriophorum vaginatum-Sphagnum-[Scheuchzerietea/Oxycocco-Sphagnetea],,,,
11-e,2000,,r11Ba02,11Ba02,,ja,,,3,RG Lavendelhei-[Kl. hoogveenbulten natte heiden],RG Andromeda polifolia-[Oxycocco-Sphagnetea],RG Andromeda polifolia-[Oxycocco-Sphagnetea],,"Heterogeen; deels Erico-Sphagnetum, deels Ericetum tetralicis of Sphagno-Ericetum",,
11-f,1998,,r11RG01,,11RG01,ja,,,3,"RG Struikhei.-Heiklauw.mos[Kl.h.veenb.,nat.hei.]",RG Calluna vul.-Hypnum jutland.-[Ox.-Sphagnetea],RG Calluna vulgaris-Hypnum jutlandicum-[Oxycocco-Sphagnetea],,,,
11-g,1998,,r11RG03,11RG02,,ja,"10-e,11-g",10-e,3,RG Pijpestrootje-Veenmos-[K.hveensl/K.hveen.hei],RG Molinia caerulea-Sphagnum-[Scheuchz/Ox-Sphag],RG Molinia caerulea-Sphagnum-[Scheuchzerietea/Oxycocco-Sphagnetea],,,,
11-h,2000,,r11Aa02a,11Aa02a,,ja,,,3,"RG Gewim.veenmos-[Kl. hoogveenbult., natte hei.]",RG Sphagnum fimbriatum-[Oxycocco-Sphagnetea],RG Sphagnum fimbriatum-[Oxycocco-Sphagnetea],,"Heterogeen; deels r11Aa02a Ericetum sphagnerosum, deels r09Aa02 Pallavicinio-Sphagnetum",,
11-i,1998,,r11RG03,11RG02,11RG03,ja,"11-i,19-e",19-e,4,RG Pijpestrootje-[K.veenbult.nat.hei/K.hei.gras],RG Molinia caerulea-[Oxycoc-Sphagnetea/Nardetea],RG Molinia caerulea-[Oxycocco-Sphagnetea/Nardetea],,,,
11-j,2000,,,,,ja,"11-j,16A-g",16A-g,3,RG Gg.zegge-Dw.zegge-[K.hveen.hei/V.Biez.Pijpes],RG Carex oederi-[Oxyc-Sphagnetea/Junco-Molinion],RG Carex oederi-[Oxycocco-Sphagnetea/Junco-Molinion],,Carex oederi subsp. oederi dominantie in klasse 11 betreft deels r11Aa01 en soms r11Aa02,,
11-k,2000,,r11Aa02,11Aa02,,ja,,,3,RG Beenbreek-[Kl. hoogveenbult. en natte heiden],RG Narthecium ossifraga-[Oxycocco-Sphagnetea],RG Narthecium ossifraga-[Oxycocco-Sphagnetea],,"Afgrenzing van Ericetum naar soortenarme ""RG Narthecium"" is geleidelijk",,
11-l,2003,,r10DG01,10DG01,,ja,"09-k,10-l,11-l",09-k; 1o-l,5,RG Pitrus-[Kl. Hoogveenbult. en natte hei.],RG Juncus effusus-[Oxycocco-Sphagnetea],RG Juncus effusus-[Parvocaricetea/Scheuchzerietea/Oxycocco-Sphagnetea],,,,
11/b,1998,2003,,,,ja,,,,,,,wijziging in 2003; naam vervalt en is vervangen door naam van 11-l,,,
11-m,1998,,r39RG03,11RG03,,ja,"09-h,11-m",09-h,3,,,RG Myrica gale-[Parvocaricetea/Oxycocco-Sphagnetea],,,,
11/a,1998,2011,,,,ja,,,,,,,wijziging in 2011; naam vervalt en is vervangen door naam van 11-m,,,
11/c,1998,,,,,nee,,,5,DG Berk-[Kl. d hoogveenbulten en natte heiden],DG Betula species-[Oxycocco-Sphagnetea],DG Betula species-[Oxycocco-Sphagnetea],2018 vervalt,Betreft opslag in een andere plantengemeenschap; daaraan toedelen,,
11/d,2011,,r09DG01,,,ja,"09/f,11/d",9/f,2,RG Grote veenbes-[K.kl.Zegge/K.hveenbul.nat.hei],RG Oxycoccus macrocarp-[Parvocar/Ox-Sphagnetea],DG Oxycoccus macrocarpos-[Parvocaricetea/Oxycocco-Sphagnetea],,,,
11-b,2000,2011,,,,ja,,,,,,,"nieuw in 2000; wijziging 2011, van RG naar DG",,,
12,1998,,r12,,,ja,,,,WEEGBREE-KLASSE,Plantaginetea majoris,Plantaginetea majoris,,,,
12A,1998,,r12Aa,12Aa,,ja,,,,Varkensgras-verbond,Polygonion avicularis,Polygonion avicularis,,,,
12A1,1998,,r12Aa01,12Aa01,,ja,,,,Associatie van Engels raaigras en Grote weegbree,Plantagini-Lolietum perennis,Plantagini-Lolietum perennis,,,,
12A1a,1998,,r12Aa01a,12Aa01a,,ja,,,5,"Ass. Engels raaigras-Grote weegbree, typ. subass",Plantagini-Lolietum typicum,Plantagini-Lolietum typicum,,,,
12A1b,1998,,r12Aa01b,12Aa01b,,ja,,,5,"Ass. Engels raai.-Gr. weegbree, sub Tengere rus",Plantagini-Lolietum juncetosum tenuis,Plantagini-Lolietum juncetosum tenuis,,,,
12A1c,1998,,r12Aa01c,12Aa01c,,ja,,,5,"Ass. Engels raai.-Gr.weegbree, sub. Wil.cichorei",Plantagini-Lolietum cichoretosum,Plantagini-Lolietum cichoretosum,,,,
12A1d,1998,,r12Aa01d,12Aa01d,,ja,,,4,"Ass. Engels raai.-Gr.weegbree, sub St. kwelderg.",Plantagini-Lolietum puccinellietosum distantis,Plantagini-Lolietum puccinellietosum distantis,,,,
12A1e,2018,,r12Aa01e,,,ja,,,,,,,2018 nieuw,Voorheen wsl. als VVN 12Aa01d opgevat,,
12A2,1998,,r12Aa02,12Aa02,,ja,,,,Associatie van Varkenskers en Schijfkamille,Coronopodo-Matricarietum,Coronopodo-Matricarietum,,,,
12A2a,1998,,r12Aa02a,12Aa02a,,ja,,,5,"Ass. v Varkenskers en Schijfkamille, typ. subass",Coronopodo-Matricarietum typicum,Coronopodo-Matricarietum typicum,,,,
12A2b,1998,,r12Aa02b,12Aa02b,,ja,,,5,"Ass. Varkenskers-Schijfkamil., sub Z.Schijnspur.",Coronopodo-Matricarietum-spergularietosum salin.,Coronopodo-Matricarietum spergularietosum salinae,,,,
12A2c,1998,,r12Aa02c,12Aa02c,,ja,,,4,"Ass. Varkenskers-Schijfkamille, sub. Muizestaart",Coronopodo-Matricarietum myosuretosum,Coronopodo-Matricarietum myosuretosum,,,,
12A3,1998,,r12Aa03,12Aa03,,ja,,,,Associatie van Vetmuur en Zilvermos,Bryo-Saginetum procumbentis,Bryo-Saginetum procumbentis,,,,
12A3a,1998,,r12Aa03a,12Aa03a,,ja,,,5,"Assoc. v Vetmuur en Zilvermos, typische subass.",Bryo-Saginetum typicum,Bryo-Saginetum typicum,,,,
12A3b,1998,,r12Aa03b,12Aa03b,,ja,,,5,"Ass. Vetmuur-Zilvermos, subass Canad. fijnstraal",Bryo-Saginetum eragrostietosum,Bryo-Saginetum eragrostietosum,,,,
12A-a,1998,,r12RG08,12RG02,12RG08,ja,,,4,RG Zandzegge-Straatgras-[Varkensgras-verbond],RG Carex arenaria-Poa annua-[Polygonion avicul.],RG Carex arenaria-Poa annua-[Polygonion avicularis],,,,
12A-b,2018,,r29RG01,,28RG01,ja,,,,,,,2018 nieuw,,,
12B,1998,,r12Ba,12Ba,,ja,,,,Zilverschoon-verbond,Lolio-Potentillion anserinae,Lolio-Potentillion anserinae,,,,
12B1,1998,,r12Ba01,12Ba01,,ja,,,,Associatie van Geknikte vossestaart,Ranunculo-Alopecuretum geniculati,Ranunculo-Alopecuretum geniculati,,,,
12B1b,1998,,r12Ba01a,12Ba01a,,ja,,,3,"Ass. v Geknikte vossestaart, subass. v Akkerkers",Ranunculo-Alopecuretum rorippetosum,Ranunculo-Alopecuretum rorippetosum,,,,
12B1a,1998,,r12Ba01b,12Ba01b,,ja,,,3,"Assoc. v Geknikte vossestaart, typische subass.",Ranunculo-Alopecuretum typicum,Ranunculo-Alopecuretum typicum,,,,
12B1c,1998,,r12Ba01c,12Ba01c,,ja,,,3,"Assoc. v Geknikte vossestaart, subass. v Lidrus",Ranunculo-Alopecuretum equisetetosum palustris,Ranunculo-Alopecuretum equisetetosum palustris,,,,
12B1d,1998,,r12Ba01d,12Ba01d,,ja,,,5,"Assoc. v Geknikte vossestaart, verarmde subass.",Ranunculo-Alopecuretum inops,Ranunculo-Alopecuretum inops,,,,
12B2,1998,,r12Ba02,12Ba02,,ja,,,,Associatie van Moeraszoutgras en Fioringras,Triglochino-Agrostietum stoloniferae,Triglochino-Agrostietum stoloniferae,,,,
12B2a,1998,,r12Ba02a,12Ba02a,,ja,,,3,"Ass. Moeraszoutgras-Fiorin., subass. Pinksterbl.",Triglochino-Agrostietum cardaminetosum,Triglochino-Agrostietum cardaminetosum,,,,
12B2b,1998,,r12Ba02b,12Ba02b,,ja,,,4,"Ass. Moeraszoutgras-Fioringras, sub Sl.waterkers",Triglochino-Agrostietum nasturtietosum,Triglochino-Agrostietum nasturtietosum,,,,
12B2c,1998,,r12Ba02c,12Ba02c,,ja,,,2,"Ass. Moeraszoutgras-Fiorin., sub Zilte rus, typ.",Triglochino-Agrostietum juncetosum gerardii,Triglochino-Agrostietum juncetosum gerardii,,,,
12B2d,2000,,r12Ba02c,12Ba02c,,ja,,,2,"Ass M.zoutgras-Fiorin., sub Zilte rus, v Pl.bies",Triglochino-Agrostietum scirpetetosum caricifor.,Triglochino-Agrostietum scirpetetosum cariciformis,,Deel van de SBB-opnamen betreft Caricion davallianae (r9Ba04b),,
12B3,1998,,r12Ba03,12Ba03,,ja,,,,Associatie van Aardbeiklaver en Fioringras,Trifolio fragiferi-Agrostietum stoloniferae,Trifolio fragiferi-Agrostietum stoloniferae,,,,
12B3a,1998,,r12Ba03a,12Ba03a,,ja,,,1,"Ass. Aardbeiklaver-Fiorin., subass. Engels raai.",Trifolio fragiferi-Agrostietum lolietosum,Trifolio fragiferi-Agrostietum lolietosum,,,,
12B3c,2000,,r12Ba03a,12Ba03a,,ja,,,1,"Ass. Aardbeiklaver en Fioringras, verarm. subass",Trifolio fragiferi-Agrostietum inops,Trifolio fragiferi-Agrostietum inops,,,,
12B3b,1998,,r12Ba03b,12Ba03b,,ja,,,1,"Ass. Aardbeiklaver-Fiorin., sub Fr.duizendgul.k.",Trifolio fragiferi-Agrostietum centaurietosum,Trifolio fragiferi-Agrostietum centaurietosum,,,,
12B4,1998,,r12Ba04,12Ba04,,ja,,,,Associatie van Kattedoorn en Zilte zegge,Ononido-Caricetum distantis,Ononido-Caricetum distantis,,,,
12B4a,1998,,r12Ba04a,12Ba04a,,ja,,,1,"Ass. v Kattedoorn en Zilte zegge, typ. subass.",Ononido-Caricetum typicum,Ononido-Caricetum typicum,,,,
12B4b,1998,,r12Ba04b,12Ba04b,,ja,,,1,"Ass. Kattedoorn-Zilte zegge, subass. Engels gras",Ononido-Caricetum armerietosum,Ononido-Caricetum armerietosum,,,,
12B-a,1998,,r09RG15,,,ja,"09C-a,12B-a",09C-a,2,RG Zeegroene zegge-[Knopbiesvb/Zilverschoon-vb],RG Carex flacca-[Caricion daval/Lo-Potentillion],RG Carex flacca-[Caricion davallianae/Lolio-Potentillion anserinae],,,,
12B-b,1998,,r09RG07,,,ja,"09C-b,12B-b",09C-b,2,RG Armbl. waterbies-[Knopbiesvb/Zilverschoon-vb],RG Eleocharis quinquefl-[Caricion dav/Lo-Potent],RG Eleocharis quinqueflora-[Caricion davallianae/Lolio-Potentillion anserinae],,,,
12B-c,1998,,r12Ba02,12Ba02,,ja,,,3,RG Slanke waterbies-[Zilverschoon-verbond],RG Eleocharis palus. unigl.-[Lolio-Potentillion],RG Eleocharis uniglumis-[Lolio-Potentillion anserinae],,"Heterogeen; betreft deels Triglochino-Agrostietum cardaminetosum, deels Ranunculo-Alopecuretum en klein soortenarm deel met Agrostis-Eleocharis dominantie ",,
12B-d,1998,,,12Ba01,,ja,,,3,RG Heen-Geknikte Vossestaart-[Zilverschoon-vb.],RG Scirpus mar.- Alopecurus-[Lolio-Potentillion],RG Scirpus maritimus-Alopecurus geniculatus-[Lolio-Potentillion anserinae],,"Betreft Ranunculo-Alopecuretum, PS onjuist!",,onjuist
12B-e,1998,,r12RG04,,12RG04,ja,,,4,RG Zeegroene rus-[Zilverschoon-verbond],RG Juncus inflexus-[Lolio-Potentillion anserin.],RG Juncus inflexus-[Lolio-Potentillion anserinae],,,,
12B-f,1998,,r12RG07,12RG05,12RG07,ja,"12B-f,16-d",16-d,3,RG M.struisgr.-Kr.boterbl.-[Z.sch.-v/K.vo.grasl],RG Agrostis can-Ranunc.rep-[Lol-Potent/Mol-Arrh],RG Agrostis canina-Ranunculus repens-[Lolio-Potentillion anserinae/Molinio-Arrhenatheretea],,,,
12B-g,2000,,r16RG25,,16RG25,ja,"12B-g,16-e",16-e,3,RG R.smele-Gekn.vossest.-[Zil.sch.-vb/K.vo.gras],RG Deschamp.ces-Alopecu.gen-[Lo-Potent/Mol-Arrh],RG Deschampsia cespitosa-Alopecurus geniculatus-[Lolio-Potentillion anserinae/Molinio-Arrhenatheretea],,,,
12B-h,1998,,r12RG05,,12RG05,ja,"08-g,09-l,12B-h",08-g; 09-l,4,RG Gewone waterbies-[Riet-kl./Zilverschoon-vrb.],RG Eleocharis palustris-[Phragmitetea/Lo-Potent],RG Eleocharis palustris-[Phragmitetea/Parvocaricetea/Lolio-Potentillion anserinae],,,,
12B-i,1998,,r12RG02,12RG04,12RG02,ja,,,5,RG Rietzwenkgras-[Zilverschoon-verbond],RG Festuca arundinacea-[Lolio-Potentillion ans.],RG Festuca arundinacea-[Lolio-Potentillion anserinae],,,,
12B-j,1998,,r12RG01,12RG03,12RG01,ja,"12B-j,16-k",16-k,5,RG Fioringras-[Zilverschoon-vb/Kl.vochtig.grasl],RG Agrostis stolonifera-[Lolio-Potent/Mol-Arrh],RG Agrostis stolonifera-[Lolio-Potentillion anserinae/Molinio-Arrhenatheretea],,,,
12B-k,2000,,r08RG03,08RG05,,ja,"08-i,12B-k",08-i,5,RG Mannagras-[Riet-klasse/Zilverschoon-verbond],RG Glyceria fluitans-[Phragmitetea/Lol-Potentil],RG Glyceria fluitans-[Phragmitetea/Lolio-Potentillion anserinae],,,,
12B-l,1998,,r33RG09,32RG07,,ja,"12B-l,32-g",32-g,4,RG Heelblaadjes-[Zilv.sch-v/K.nat.strooiselruig],RG Pulicaria dysenterica-[Lo-Potent/Conv-Filup],RG Pulicaria dysenterica-[Lolio-Potentillion anserinae/Convolvulo-Filipenduletea],,,,
12B-m,2000,,r12RG06,,12RG06,ja,"08A-d,09A-b,12B-m",08A-d; 09A-b,3,RG Zomprus-[Vlotgr.-v./V.Zw.zegge/Zilversch.-v.],RG Juncus artic-[S-Glycerion/Caricion ni/Lo-Pot],RG Juncus articulatus-[Sparganio-Glycerion/Caricion nigrae/Lolio-Potentillion anserinae],,,,
12B-n,2018,,r12RG03,,12RG03,ja,,,,,,,2018 nieuw,Voorheen wsl. als VVN 16Ab04 of 12Ba01 opgevat,,
12B-o,2018,,r08RG19,,08RG19,ja,,,,,,,2018 nieuw,Voorheen wsl. als onbeschreven RG opgevat,,
12-a,1998,,r12RG09,12RG01,12RG09,ja,"12-a,16-m",16-m,5,RG Ruw beemdgras-Engels raai-[Weegb-k/K.vo.gras],RG Poa triv-Lolium per-[Plantaginetea/Mol-Arrh],RG Poa trivialis-Lolium perenne-[Plantaginetea majoris/Molinio-Arrhenatheretea],,,,
12-b,2000,,r32RG12,31RG07,,ja,"12-b,31-g",31-g,4,RG Oeverstekelnoot-Kweek-[Weegbree-kl/Bijvoet-k],RG Xanthium or-Elymus rep-[Plantag/Artemisietea],RG Xanthium orientale-Elymus repens-[Plantaginetea majoris/Artemisietea vulgaris],,,,
12-c,2018,,r34RG05,,33RG05,ja,,,,,,,2018 nieuw,,,
12-d,2018,,r12RG10,,12RG10,ja,,,,,,,2018 nieuw,"Voorheen wsl. tot diverse gemeenschappen gerekend, o.a. 12Ba01, 16Bb01, 31Ca01, 31RG04",,
12-e,2018,,r16RG14,,16RG14,ja,,,,,,,2018 nieuw,"Voorheen wsl. als VVN 16RG01 opgevat, mogelijk als 16RG02 of 16RG03",,
12-f,2018,,r16RG21,,16RG21,ja,,,,,,,2018 nieuw,Voorheen wsl. als VVN 16Bb01 opgevat,,
13,1998,,r13,13,,ja,,,,KL. PIONIERGRASLANDEN OP GRUIS- EN STEENBODEMS,Sedo-Scleranthetea,Sedo-Scleranthetea,,,,
13A,1998,,r13Aa,13Aa,,ja,,,,Verbond van Vetkruiden en Kandelaartje,Alysso-Sedion,Alysso-Sedion,,,,
13A2,1998,,r13Aa01,13Aa01,,ja,,,1,Associatie van Tengere veldmuur,Cerastietum pumili,Cerastietum pumili,,,,
13A1,1998,,r13Aa02,13Aa02,,ja,,,1,Associatie van Kandelaartje en Plat beemdgras,Saxifrago tridactylitis-Poetum compressae,Saxifrago tridactylitis-Poetum compressae,,,,
14,1998,,r14,,,ja,,,,KLASSE DER DROGE GRASLANDEN OP ZANDGROND,Koelerio-Corynephoretea,Koelerio-Corynephoretea,,,,
14A,1998,,r14Aa,14Aa,,ja,,,,Buntgras-verbond,Corynephorion canescentis,Corynephorion canescentis,,,,
14A1,1998,,r14Aa01,14Aa01,,ja,,,,Associatie van Buntgras en Heidespurrie,Spergulo-Corynephoretum,Spergulo-Corynephoretum,,,,
14A1a,1998,,r14Aa01b,14Aa01b,,ja,,,1,"Ass. v Buntgras en Heidespurrie, subass Cladonia",Spergulo-Corynephoretum cladonietosum,Spergulo-Corynephoretum cladonietosum,,,,
14A1b,1998,,r14Aa01a,14Aa01a,,ja,,,1,"Ass. v Buntgras en Heidespurrie, verarmde subass",Spergulo-Corynephoretum inops,Spergulo-Corynephoretum inops,,,,
14A2,1998,,r14Aa02,14Aa02,,ja,,,,Duin-Buntgras-associatie,Violo-Corynephoretum,Violo-Corynephoretum,,,,
14A2a,1998,,r14Aa02a,14Aa02a,,ja,,,1,"Duin-Buntgras-associatie, typische subassociatie",Violo-Corynephoretum typicum,Violo-Corynephoretum typicum,,,,
14A2b,1998,,r14Aa02b,14Aa02b,,ja,,,1,"Duin-Buntgras-associatie, subassoc. v Fakkelgras",Violo-Corynephoretum koelerietosum,Violo-Corynephoretum koelerietosum,,,,
14B,1998,,r14Ca,14Ca,,ja,,,,Duinsterretjes-verbond,Tortulo-Koelerion,Tortulo-Koelerion,"N.B. smallere opvatting in SBB catalogus, geen microgemeenschappen onderscheiden",,,
14B1,1998,,r14Ca01,14Ca01,,ja,,,,Duinsterretjes-associatie,Phleo-Tortuletum ruraliformis,Phleo-Tortuletum ruraliformis,,,,
14B1a,1998,,r14Ca01a,14Ca01a,,ja,,,1,"Duinsterretjes-associatie, typische subassoc.",Phleo-Tortuletum typicum,Phleo-Tortuletum typicum,,,,
