code_sbb,sbb_beginjaar,sbb_eindjaar,code_rvvn_2018,code_vvn_1998,code_veldgids_2015,sbb_in_rvvn,kov_codes,kov_verbonden,vvbh,sbb_nednaam_voor_2019,sbb_wetnaam_kort_voor_2019,sbb_wetnaam_voor_2019,opmerking_piet_schipper_2018,opmerking_john_jansen_2018,opmerking_code_vvn_1998,opmerking_code_veldgids_2015
04D1,1998,,r04Ca01,04Ca01,,ja,,,,Associatie van Brakwaterglansblad,Charetum canescentis,Charetum canescentis,,,,
04D1a,2000,,r04Ca01,04Ca01,,ja,,,1,"Assoc. v Brakwaterglansblad, typische subass.",Charetum canescentis typicum,Charetum canescentis typicum,,,,
04D1b,2000,,r04Ca01,04Ca01,,ja,,,1,"Assoc. v Brakwaterglansblad, soortenarme subass.",Charetum canescentis inops,Charetum canescentis inops,,,,
04-a,1998,,r04RG01,04RG01,04RG01,ja,,,3,RG Breekbaar kransblad-[Kranswieren-klasse],RG Chara globularis-[Charetea fragilis],RG Chara globularis-[Charetea fragilis],,,,
04-b,2018,,r04RG03,,04RG03,ja,,,,,,,2018 nieuw,Voorheen wsl. als onbeschreven RG opgevat; niet zeker of dit type in duinvalleien voorkomt,,
05,1998,,r05,05,,ja,,,,FONTEINKRUID-KLASSE,Potametea,Potametea,,,,
05A,1998,,r05Aa,05Aa,,ja,,,,Verbond van Gesteelde zannichellia,Zannichellion pedicellatae,Zannichellion pedicellatae,,,,
05A1,1998,,r05Aa01,05Aa01,,ja,,,1,Associatie van Fijn hoornblad,Ceratophylletum submersi,Ceratophylletum submersi,,,,
05A2,1998,,r05Aa02,05Aa02,,ja,,,2,Associatie van Zilte waterranonkel,Ranunculetum baudotii,Ranunculetum baudotii,,,,
05A3,1998,,r05Aa03,05Aa03,,ja,,,,Associatie van Groot nimfkruid,Najadetum marinae,Najadetum marinae,,,,
05A3a,1998,,r05Aa03a,05Aa03a,,ja,,,1,"Assoc. v Groot nimfkruid, subass. v Zannichellia",Najadetum marinae zannichellietosum,Najadetum marinae zannichellietosum,,,,
05A3b,1998,,r05Aa03b,05Aa03b,,ja,,,1,"Ass. v Groot nimfkruid, subass. v Sterkranswier",Najadetum marinae nitellopsidetosum,Najadetum marinae nitellopsidetosum,,,,
05A-a,1998,,r05RG01,05RG03,05RG01,ja,,,5,RG Sch.fonteinkr-Gest.zannichellia[Vb.Ges.zann.],RG Potamo.pect.-Zann.pal.-[Zannichellion pedic.],RG Potamogeton pectinatus-Zannichellia palustris subsp. pedicellata-[Zannichellion pedicellatae],,,,
05B,1998,,r05Ba,05Ba,,ja,,,,Waterlelie-verbond,Nymphaeion,Nymphaeion,,,,
05B1,1998,,r05Ba01,05Ba01,,ja,,,,Associatie van Doorgroeid fonteinkruid,Ranunculo fluitantis-Potametum perfoliati,Ranunculo fluitantis-Potametum perfoliati,,,,
05B1a,2000,,r05Ba01,05Ba01,,ja,,,3,"Ass. v Doorgroeid fonteinkruid, typische subass.",Ranunculo fluitantis-Potametum perfoliati typic.,Ranunculo fluitantis-Potametum perfoliati typicum,,,,
05B1b,2000,,r05Ba01,05Ba01,,ja,,,3,"Ass. v Doorgroeid fonteinkruid, srt.-arme subass",Ranunculo fluitantis-Potametum perfoliati inops,Ranunculo fluitantis-Potametum perfoliati inops,,,,
05B2,1998,,r05Ba02,05Ba02,,ja,,,,Associatie van Glanzig fonteinkruid,Potametum lucentis,Potametum lucentis,,,,
05B2a,1998,,r05Ba02,05Ba02,,ja,,,3,"Assoc. v Glanzig fonteinkruid, typische subass.",Potametum lucentis typicum,Potametum lucentis typicum,,,,
05B2b,1998,,r05Ba02,05Ba02,,ja,,,3,"Ass. v Glanzig fonteinkruid, soortenarme subass.",Potametum lucentis inops,Potametum lucentis inops,,,,
05B3,1998,,r05Ba03,05Ba03,,ja,,,,Associatie van Witte waterlelie en Gele plomp,Myriophyllo-Nupharetum,Myriophyllo-Nupharetum,"Soortenrijke subassociatie ontbreekt, met R. circ. en Pot compr.","In revisie is r05Ba03 smaller opgevat dan VVN-type, excl. r05Ba4 en r05RG17",,
05B3a,2000,,r05Ba03,05Ba03,,ja,,,3,"Ass. Witte waterlelie en Gele plomp, typ. subass",Myriophyllo-Nupharetum typicum,Myriophyllo-Nupharetum typicum,,Klein deel SBB 05B3a betreft r05RG17,,
05B3b,2000,,r05Ba03,05Ba03,,ja,,,4,"Ass. Witte waterlelie-Gele plomp, srt.-arme sub.",Myriophyllo-Nupharetum inops,Myriophyllo-Nupharetum inops,,Klein deel SBB 05B3b betreft r05RG17,,
05B5,2018,,r05Ba04,,,ja,,,,,,,2018 nieuw,Voorheen wsl. als VVN 05Ba03 opgevat; zo ook HT definitie bedoeld,,
05B4,1998,,r05Ba05,05Ba04,,ja,,,3,Watergentiaan-associatie,Potameto-Nymphoidetum,Potameto-Nymphoidetum,,,,
05B-a,2018,,r05RG17,,,ja,,,,,,,2018 nieuw,Voorheen wsl. als VVN 05Ba03 opgevat; zelfde aanvullende criteria als 05Ba03,,
05C,1998,,r05Bb,05Bb,,ja,,,,Kikkerbeet-verbond,Hydrocharition morsus-ranae,Hydrocharition morsus-ranae,,,,
05C1,1998,,r05Bb01,05Bb01,,ja,,,3,Krabbescheer associatie,Stratiotetum,Stratiotetum,,,,
05C2,1998,,r05Bb02,05Bb02,,ja,,,3,Associatie van Groot blaasjeskruid,Utricularietum vulgaris,Utricularietum vulgaris,,,,
05D,1998,,r05Bc,05Bc,,ja,,,,Verbond der kleine Fonteinkruiden,Parvopotamion,Parvopotamion,,,,
05D1,1998,,r05Bc01,05Bc01,,ja,,,1,Associatie van Klein fonteinkruid,Potametum berchtoldii,Potametum berchtoldii,,,,
05D2,1998,,r05Bc02,05Bc02,,ja,,,1,Associatie van Paarbladig fonteinkruid,Groenlandietum,Groenlandietum,,,,
05D3,1998,,r05Bc03,05Bc03,,ja,,,3,Associatie van Stijve waterranonkel,Ranunculetum circinati,Ranunculetum circinati,,,,
05D4,1998,,r05Bc04,05Bc04,,ja,,,3,Associatie van Stomp fonteinkruid,Potametum obtusifolii,Potametum obtusifolii,,,,
05D5,1998,,r05Bc05,05Bc05,,ja,,,,Associatie van Waterviolier en Kransvederkruid,Myriophyllo verticillati-Hottonietum,Myriophyllo verticillati-Hottonietum,,,,
05D5a,2000,,r05Bc05,05Bc05,,ja,,,1,"Ass. Waterviolier-Kransvederkruid, typ. subass.",Myriophyllo verticillati-Hottonietum typicum,Myriophyllo verticillati-Hottonietum typicum,,,,
05D5b,2000,,r05Bc05,05Bc05,,ja,,,2,"Ass. Waterviolier-Kransvederkruid, srt.arme sub.",Myriophyllo verticillati-Hottonietum inops,Myriophyllo verticillati-Hottonietum inops,,,,
05D-a,1998,,r05RG04,05RG05,05RG04,ja,,,3,RG Teng.fonteinkr.-Sm.waterpest-[Vb.kl.Fonteink],RG Potamogeton pusillus-Elodea nutt.-[Parvopot.],RG Potamogeton pusillus-Elodea nuttallii-[Parvopotamion],,,,
