code_sbb,sbb_wetnaam,sbb_beginjaar,sbb_eindjaar,code_rvvn_2018,vvn_wetnaam,code_vvn_1998,code_veldgids_2015,vvbh,kov_codes,kov_verbonden,sbb_nednaam_voor_2019,sbb_wetnaam_kort_voor_2019,sbb_wetnaam_voor_2019,opmerking_piet_schipper_2018,opmerking_john_jansen_2018,opmerking_code_rvvn_2018,opmerking_code_vvn_1998,opmerking_code_veldgids_2015
04-b,RG Nitella mucronata-[Charetea fragilis/Potametea],2018,,r04RG03,RG Nitella mucronata-[Charetea fragilis/Potametea],,04RG03,,,,,,,2018 nieuw,Voorheen wsl. als onbeschreven RG opgevat; niet zeker of dit type in duinvalleien voorkomt,,,
05,Potametea,1998,,r05,Potametea,05,,,,,FONTEINKRUID-KLASSE,Potametea,Potametea,,,,,
05A,Zannichellion pedicellatae,1998,,r05Aa,Zannichellion pedicellatae,05Aa,,,,,Verbond van Gesteelde zannichellia,Zannichellion pedicellatae,Zannichellion pedicellatae,,,,,
05A1,Ceratophylletum submersi,1998,,r05Aa01,Ceratophylletum submersi,05Aa01,,1,,,Associatie van Fijn hoornblad,Ceratophylletum submersi,Ceratophylletum submersi,,,,,
05A2,Ranunculetum baudotii,1998,,r05Aa02,Ranunculetum baudotii,05Aa02,,2,,,Associatie van Zilte waterranonkel,Ranunculetum baudotii,Ranunculetum baudotii,,,,,
05A3,Najadetum marinae,1998,,r05Aa03,Najadetum marinae,05Aa03,,,,,Associatie van Groot nimfkruid,Najadetum marinae,Najadetum marinae,,,,,
05A3a,Najadetum marinae zannichellietosum,1998,,r05Aa03a,Najadetum marinae zannichellietosum,05Aa03a,,1,,,"Assoc. v Groot nimfkruid, subass. v Zannichellia",Najadetum marinae zannichellietosum,Najadetum marinae zannichellietosum,,,,,
05A3b,Najadetum marinae nitellopsidetosum,1998,,r05Aa03b,Najadetum marinae nitellopsidetosum,05Aa03b,,1,,,"Ass. v Groot nimfkruid, subass. v Sterkranswier",Najadetum marinae nitellopsidetosum,Najadetum marinae nitellopsidetosum,,,,,
05A-a,RG Potamogeton pectinatus-Zannichellia palustris subsp. pedicellata-[Zannichellion pedicellatae],1998,,r05RG01,RG Potamogeton pectinatus-Zannichellia palustris subsp. pedicellata-[Zannichellietalia pedicellatae],05RG03,05RG01,5,,,RG Sch.fonteinkr-Gest.zannichellia[Vb.Ges.zann.],RG Potamo.pect.-Zann.pal.-[Zannichellion pedic.],RG Potamogeton pectinatus-Zannichellia palustris subsp. pedicellata-[Zannichellion pedicellatae],,,,,
05B,Nymphaeion,1998,,r05Ba,Nymphaeion,05Ba,,,,,Waterlelie-verbond,Nymphaeion,Nymphaeion,,,,,
05B1,Ranunculo fluitantis-Potametum perfoliati,1998,,r05Ba01,Ranunculo fluitantis-Potametum perfoliati,05Ba01,,,,,Associatie van Doorgroeid fonteinkruid,Ranunculo fluitantis-Potametum perfoliati,Ranunculo fluitantis-Potametum perfoliati,,,,,
05B1a,Ranunculo fluitantis-Potametum perfoliati typicum,2000,,r05Ba01,Ranunculo fluitantis-Potametum perfoliati,05Ba01,,3,,,"Ass. v Doorgroeid fonteinkruid, typische subass.",Ranunculo fluitantis-Potametum perfoliati typic.,Ranunculo fluitantis-Potametum perfoliati typicum,,,,,
05B1b,Ranunculo fluitantis-Potametum perfoliati inops,2000,,r05Ba01,Ranunculo fluitantis-Potametum perfoliati,05Ba01,,3,,,"Ass. v Doorgroeid fonteinkruid, srt.-arme subass",Ranunculo fluitantis-Potametum perfoliati inops,Ranunculo fluitantis-Potametum perfoliati inops,,,,,
05B2,Potametum lucentis,1998,,r05Ba02,Potametum lucentis,05Ba02,,,,,Associatie van Glanzig fonteinkruid,Potametum lucentis,Potametum lucentis,,,,,
05B2a,Potametum lucentis typicum,1998,,r05Ba02,Potametum lucentis,05Ba02,,3,,,"Assoc. v Glanzig fonteinkruid, typische subass.",Potametum lucentis typicum,Potametum lucentis typicum,,,,,
05B2b,Potametum lucentis inops,1998,,r05Ba02,Potametum lucentis,05Ba02,,3,,,"Ass. v Glanzig fonteinkruid, soortenarme subass.",Potametum lucentis inops,Potametum lucentis inops,,,,,
05B3,Myriophyllo-Nupharetum,1998,,r05Ba03,Nymphaeo albae-Nupharetum luteae,05Ba03,,,,,Associatie van Witte waterlelie en Gele plomp,Myriophyllo-Nupharetum,Myriophyllo-Nupharetum,"Soortenrijke subassociatie ontbreekt, met R. circ. en Pot compr.","In revisie is r05Ba03 smaller opgevat dan VVN-type, excl. r05Ba4 en r05RG17",,,
05B3a,Myriophyllo-Nupharetum typicum,2000,,r05Ba03,Nymphaeo albae-Nupharetum luteae,05Ba03,,3,,,"Ass. Witte waterlelie en Gele plomp, typ. subass",Myriophyllo-Nupharetum typicum,Myriophyllo-Nupharetum typicum,,Klein deel SBB 05B3a betreft r05RG17,,,
05B3b,Myriophyllo-Nupharetum inops,2000,,r05Ba03,Nymphaeo albae-Nupharetum luteae,05Ba03,,4,,,"Ass. Witte waterlelie-Gele plomp, srt.-arme sub.",Myriophyllo-Nupharetum inops,Myriophyllo-Nupharetum inops,,Klein deel SBB 05B3b betreft r05RG17,,,
05B5,Nymphaeetum candidae,2018,,r05Ba04,Nymphaeetum candidae,,,,,,,,,2018 nieuw,Voorheen wsl. als VVN 05Ba03 opgevat; zo ook HT definitie bedoeld,,,
05B4,Potameto-Nymphoidetum,1998,,r05Ba05,Potameto-Nymphoidetum,05Ba04,,3,,,Watergentiaan-associatie,Potameto-Nymphoidetum,Potameto-Nymphoidetum,,,,,
05B-a,RG Nuphar lutea-[Nymphaeion],2018,,r05RG17,RG Nuphar lutea-[Nymphaeion],,,,,,,,,2018 nieuw,Voorheen wsl. als VVN 05Ba03 opgevat; zelfde aanvullende criteria als 05Ba03,,,
05C,Hydrocharition morsus-ranae,1998,,r05Bb,Hydrocharition morus-ranae,05Bb,,,,,Kikkerbeet-verbond,Hydrocharition morsus-ranae,Hydrocharition morsus-ranae,,,,,
05C1,Stratiotetum,1998,,r05Bb01,Stratiotetum,05Bb01,,3,,,Krabbescheer associatie,Stratiotetum,Stratiotetum,,,,,
05C2,Utricularietum vulgaris,1998,,r05Bb02,Utricularietum vulgaris,05Bb02,,3,,,Associatie van Groot blaasjeskruid,Utricularietum vulgaris,Utricularietum vulgaris,,,,,
05D,Parvopotamion,1998,,r05Bc,Parvopotamion,05Bc,,,,,Verbond der kleine Fonteinkruiden,Parvopotamion,Parvopotamion,,,,,
05D1,Potametum berchtoldii,1998,,r05Bc01,Potametum berchtoldii,05Bc01,,1,,,Associatie van Klein fonteinkruid,Potametum berchtoldii,Potametum berchtoldii,,,,,
05D2,Groenlandietum,1998,,r05Bc02,Groenlandietum,05Bc02,,1,,,Associatie van Paarbladig fonteinkruid,Groenlandietum,Groenlandietum,,,,,
05D3,Ranunculetum circinati,1998,,r05Bc03,Ranunculetum circinati,05Bc03,,3,,,Associatie van Stijve waterranonkel,Ranunculetum circinati,Ranunculetum circinati,,,,,
05D4,Potametum obtusifolii,1998,,r05Bc04,Potametum obtusifolii,05Bc04,,3,,,Associatie van Stomp fonteinkruid,Potametum obtusifolii,Potametum obtusifolii,,,,,
05D5,Myriophyllo verticillati-Hottonietum,1998,,r05Bc05,Myriophyllo verticillati-Hottonietum,05Bc05,,,,,Associatie van Waterviolier en Kransvederkruid,Myriophyllo verticillati-Hottonietum,Myriophyllo verticillati-Hottonietum,,,,,
05D5a,Myriophyllo verticillati-Hottonietum typicum,2000,,r05Bc05,Myriophyllo verticillati-Hottonietum,05Bc05,,1,,,"Ass. Waterviolier-Kransvederkruid, typ. subass.",Myriophyllo verticillati-Hottonietum typicum,Myriophyllo verticillati-Hottonietum typicum,,,,,
05D5b,Myriophyllo verticillati-Hottonietum inops,2000,,r05Bc05,Myriophyllo verticillati-Hottonietum,05Bc05,,2,,,"Ass. Waterviolier-Kransvederkruid, srt.arme sub.",Myriophyllo verticillati-Hottonietum inops,Myriophyllo verticillati-Hottonietum inops,,,,,
05D-a,RG Potamogeton pusillus-Elodea nuttallii-[Parvopotamion],1998,,r05RG04,RG Potamogeton pusillus-Elodea nuttallii-[Parvopotamion],05RG05,05RG04,3,,,RG Teng.fonteinkr.-Sm.waterpest-[Vb.kl.Fonteink],RG Potamogeton pusillus-Elodea nutt.-[Parvopot.],RG Potamogeton pusillus-Elodea nuttallii-[Parvopotamion],,,,,
05D-b,RG Potamogeton trichoides-[Parvopotamion],1998,,r05RG06,RG Potamogeton trichoides-[Parvopotamion],05RG07,05RG06,3,,,RG Haarfonteinkruid-[Vb. kleine Fonteinkruiden],RG Potamogeton trichoides-[Parvopotamion],RG Potamogeton trichoides-[Parvopotamion],,,,,
05D-c,RG Ranunculus aquatilis-[Parvopotamion],2000,,r05RG10,RG Ranunculus aquatilis-[Potametea],,05RG10,3,,,RG Fijne waterranonkel-[Vb. kleine Fonteinkr.],RG Ranunculus aquaticus-[Parvopotamion],RG Ranunculus aquatilis-[Parvopotamion],,,,,
05D-d,RG Potamogeton mucronatus-[Parvopotamion],2018,,r05RG03,RG Potamogeton mucronatus-[Parvopotamion],,05RG03,,,,,,,2018 nieuw,,,,
05E,Ranunculion peltati,1998,,r05Ca,Ranunculion peltati,05Ca,,,,,Verbond van Grote waterranonkel,Ranunculion peltati,Ranunculion peltati,,,,,
05E1,Callitricho-Hottonietum,1998,,r05Ca01,Callitricho-Hottonietum,05Ca01,,3,,,Associatie van Waterviolier en Sterrekroos,Callitricho-Hottonietum,Callitricho-Hottonietum,,,,,
05E2,Ranunculetum hederacei,1998,,r05Ca02,Ranunculetum hederacei,05Ca02,,1,,,Associatie van Klimopwaterranonkel,Ranunculetum hederacei,Ranunculetum hederacei,,,,,
05E3,Callitricho-Myriophylletum alterniflori,1998,,r05Ca03,Callitricho-Myriophylletum alterniflori,05Ca03,,1,,,Associatie van Teer vederkruid,Callitricho-Myriophylletum alterniflori,Callitricho-Myriophylletum alterniflori,,,,,
05E4,Callitricho hamulatae-Ranunculetum fluitantis,1998,,r05Ca04,Callitricho hamulatae-Ranunculetum fluitantis,05Ca04,,1,,,Associatie van Vlottende waterranonkel,Callitricho hamulatae-Ranunculetum fluitantis,Callitricho hamulatae-Ranunculetum fluitantis,,,,,
05E-a,RG Ranunculus peltatus-[Ranunculion peltati],2000,,r05RG08,RG Ranunculus peltatus-[Ranunculion peltati],,05RG08,3,,,RG Grote waterranonkel-[Vb. Grote waterranonkel],RG Ranunculus peltatus-[Ranunculion peltati],RG Ranunculus peltatus-[Ranunculion peltati],,,,,
05E-b,RG Luronium natans-[Ranunculion peltati],2018,,r05RG09,RG Luronium natans-[Ranunculion peltati],,05RG09,,,,,,,2018 nieuw,"Voorheen wsl. opgevat als VVN 05Ca04 of 8Ab02, of SBB 05E-a",,,
05-a,RG Potamogeton natans-[Potametea/Lemnetea minoris],1998,,r05RG16,RG Potamogeton natans-[Potametea/Lemnetea minoris],,05RG16,,,,RG Drijvend fonteinkruid-[Fonteinkruid-klasse],RG Potamogeton natans-[Potametea],RG Potamogeton natans-[Potametea],2018 naam aangepast verbonden met lemnetea,,,,
05-b,RG Potamogeton crispus-[Potametea],1998,,r05RG12,RG Potamogeton crispus-[Potametea],05RG02,05RG12,3,,,RG Gekroesd fonteinkruid-[Fonteinkruid-klasse],RG Potamogeton crispus-[Potametea],RG Potamogeton crispus-[Potametea],,,,,
05-c,RG Elodea canadensis-[Potametea],1998,,r05RG05,RG Elodea canadensis-[Parvopotamion],05RG06,05RG05,3,,,RG Brede waterpest-[Fonteinkruid-klasse],RG Elodea canadensis-[Potametea],RG Elodea canadensis-[Potametea],,,,,
05-d,RG Ceratophyllum demersum-[Potametea],1998,,r05RG07,RG Ceratophyllum demersum-[Nupharo-Potametalia],05RG04,05RG07,5,,,RG Grof hoornblad-[Fonteinkruid-klasse],RG Ceratophyllum demersum-[Potametea],RG Ceratophyllum demersum-[Potametea],,,,,
05-e,RG Callitriche platycarpa-[Potametea],1998,,r05RG14,RG Callitriche platycarpa-[Potametea],05RG08,05RG14,3,,,RG Gewoon sterrekroos-[Fonteinkruid-klasse],RG Callitriche platycarpa-[Potametea],RG Callitriche platycarpa-[Potametea],,,,,
05-f,RG Myriophyllum spicatum-[Potametea],1998,,r05RG11,RG Myriophyllum spicatum-[Potametea],05RG01,05RG11,3,,,RG Aarvederkruid-[Fonteinkruid-klasse],RG Myriophyllum spicatum-[Potametea],RG Myriophyllum spicatum-[Potametea],,,,,
05-g,RG Hydrocharis morsus-ranae-[Lemnetea minoris/Potametea],2000,,r05RG02,RG Hydrocharis morsus-ranae-[Hydrocharition morsus-ranae],,05RG02,5,"01-b,05-g",01-b,RG Kikkerbeet-[Eendekroos-kl./Fonteinkruid-kl.],RG Hydrocharis morsus-ranae-[Lemnetea/Potametea],RG Hydrocharis morsus-ranae-[Lemnetea minoris/Potametea],,,,,
05-h,RG Callitriche obtusangula-[Potametea],2000,,r05RG15,RG Callitriche obtusangula-[Potametea],,05RG15,4,,,RG Stomphoekig sterrekroos-[Fonteinkruid-klasse],RG Callitriche obtusangula-[Potametea],RG Callitriche obtusangula-[Potametea],,,,,
05-j,RG Nitella flexilis-[Nitellion flexilis/Potametea],2013,,r04RG02,RG Nitella flexilis-[Charetea fragilis/Potametea],,04RG02,4,,,,,RG Potamogeton mucronatus-[Parvopotamion],2018 naam aangepast verbonden met potametea,,,,
05-k,RG Nitella mucronata-[Charetea fragilis/Potametea],2018,,r04RG03,RG Nitella mucronata-[Charetea fragilis/Potametea],,04RG03,,,,,,,2018 nieuw,Voorheen wsl. als onbeschreven RG opgevat; niet zeker of dit type in duinvalleien voorkomt,,,
05-l,RG Zannichellia palustris subsp. palustris-[Potametea],2018,,r05RG13,RG Zannichellia palustris subsp. palustris-[Potametea],,05RG13,,,,,,,2018 nieuw,Voorheen wsl. opgevat als 05RG03 of 05BA01,,,
05/a,DG Myriophyllum aquaticum-[Potametea],2018,,r05DG01,DG Myriophyllum aquaticum-[Potametea/Phragmitetea],,05DG01,,,,,,,2018 nieuw,Voorheen wsl. als onbeschreven DG opgevat; nog enkele DG's beschrijven: Myriophyllum heterophyllum; Hydrocotyle ranunculoides; Cabomba caroliniana; Egeria densa; Lagarosiphon major; Ludwigia grandiflora,,,
,,,,r08RG17,RG Butomus umbellatus-Elodea nuttallii-[Phragmitetea/Potametea],,08RG17,,,,,,,Later besluiten; ruimtelijke overgang?,"Voorheen wsl. opgevat als onderdeel klasse 5, bijv. VVN 05BC03, 05RG05, 05Ba03",,,
06,Littorelletea,1998,,r06,Littorelletea,06,,,,,OEVERKRUID-KLASSE,Littorelletea,Littorelletea,,,,,
06A,Littorellion uniflorae,1998,,r06Aa,Littorellion uniflorae,06Aa,,,,,Oeverkruid-verbond,Littorellion uniflorae,Littorellion uniflorae,,,,,
06A1,Isoeto-Lobelietum,1998,,r06Aa01,Isoeto-Lobelietum,06Aa01,,,,,Associatie van Biesvaren en Waterlobelia,Isoeto-Lobelietum,Isoeto-Lobelietum,,,,,
06A1a,Isoeto-Lobelietum isoetetosum,1998,,r06Aa01a,Isoeto-Lobelietum isoetetosum,06Aa01a,,1,,,"Ass. Biesvaren en Waterlobelia, subass Biesvaren",Isoeto-Lobelietum isoetetosum,Isoeto-Lobelietum isoetetosum,,,,,
06A1b,Isoeto-Lobelietum eleocharitetosum multicaulis,1998,,r06Aa01b,Isoeto-Lobelietum eleocharitetosum multicaulis,06Aa01b,,1,,,"Ass. Biesvaren-Waterlobel., sub Veelst.waterbies",Isoeto-Lobelietum eleocharitetosum multicaulis,Isoeto-Lobelietum eleocharitetosum multicaulis,,,,,
06A1c,Isoeto-Lobelietum sphagnetosum,1998,,r06Aa01c,Isoeto-Lobelietum sphagnetosum,06Aa01c,,1,,,"Ass. Biesvaren en Waterlobelia, subass. Veenmos",Isoeto-Lobelietum sphagnetosum,Isoeto-Lobelietum sphagnetosum,,,,,
06A1d,Isoeto-Lobelietum inops,1998,,r06Aa01d,Isoeto-Lobelietum inops,06Aa01d,,1,,,"Ass. Biesvaren en Waterlobelia, srt.-arme subass",Isoeto-Lobelietum inops,Isoeto-Lobelietum inops,,,,,
06B,Potamion graminei,1998,,r06Ab,Potamion graminei,06Ab,,,,,Verbond van Ongelijkbladig fonteinkruid,Potamion graminei,Potamion graminei,,,,,
06B1,Echinodoro-Potametum graminei,1998,,r06Ab01,Echinodoro-Potametum graminei,06Ab01,,1,,,Associatie van Ongelijkbladig fonteinkruid,Echinodoro-Potametum graminei,Echinodoro-Potametum graminei,,,,,
06B2,Sparganietum minimi,1998,,r06Ab02,Sparganietum minimi,06Ab02,,1,,,Associatie van Kleinste egelskop,Sparganietum minimi,Sparganietum minimi,,,,,
06C,Hydrocotylo-Baldellion,1998,,r06Ac,Hydrocotylo-Baldellion,06Ac,,,,,Verbond van Waternavel & Stijve moerasweegbree,Hydrocotylo-Baldellion,Hydrocotylo-Baldellion,,,,,
06C1,Pilularietum globuliferae,1998,,r06Ac01,Pilularietum globuliferae,06Ac01,,1,,,Pilvaren-associatie,Pilularietum globuliferae,Pilularietum globuliferae,,,,,
06C2,Scirpetum fluitantis,1998,,r06Ac02,Scirpetum fluitantis,06Ac02,,1,,,Associatie van Vlottende bies,Scirpetum fluitantis,Scirpetum fluitantis,,,,,
06C2a,Scirpetum fluitantis typicum,2011,,r06Ac02,Scirpetum fluitantis,06Ac02,,1,,,Associatie van Vlottende bies,Scirpetum fluitantis,Scirpetum fluitantis typicum,2011 nieuw,,,,
06C2b,Scirpetum fluitantis sphagnetosum,2011,,r06Ac02,Scirpetum fluitantis,06Ac02,,1,,,Associatie van Vlottende bies,Scirpetum fluitantis,Scirpetum fluitantis sphagnetosum,2011 nieuw,,,,
06C2c,Scirpetum fluitantis inops,2011,,r06Ac02,Scirpetum fluitantis,06Ac02,,2,,,Associatie van Vlottende bies,Scirpetum fluitantis,Scirpetum fluitantis inops,2011 nieuw,,,,
06C3,Eleocharitetum multicaulis,1998,,r06Ac03,Eleocharitetum multicaulis,06Ac03,,1,,,Associatie van Veelstengelige waterbies,Eleocharitetum multicaulis,Eleocharitetum multicaulis,,,,,
06C4,Samolo-Littorelletum,1998,,r06Ac04,Samolo-Littorelletum,06Ac04,,1,,,Associatie van Waterpunge en Oeverkruid,Samolo-Littorelletum,Samolo-Littorelletum,,,,,
06D,Eleocharition acicularis,1998,,r06Ad,Eleocharition acicularis,06Ad,,,,,Naaldwaterbies-verbond,Eleocharition acicularis,Eleocharition acicularis,,,,,
06D1,Littorello-Eleocharitetum acicularis,1998,,r06Ad01,Littorello-Eleocharitetum acicularis,06Ad01,,3,,,Naaldwaterbies-associatie,Littorello-Eleocharitetum acicularis,Littorello-Eleocharitetum acicularis,,,,,
